IdAluno;Bimestre;Resultado;1>;1>2>;1>46>;1>46>2>;14>;14>14>;14>14>14>;14>14>41>;14>2>;14>2>14>;14>3>;14>3>2>;14>31>;14>31>14>;14>31>30>;14>31>30>14>;14>31>30>30>;14>31>30>30>30>;14>31>30>31>;14>31>30>31>30>;14>31>31>;14>31>41>;14>32>;14>32>31>;14>41>;14>41>31>;14>41>41>;14>41>41>41>;14>41>41>41>41>;14>41>43>;14>43>;14>43>44>;14>43>44>44>;14>43>44>44>44>;14>48>;14>49>;14>49>49>;14>7>;14>7>5>;14>7>5>5>;14>8>;16>;16>31>;16>31>14>;17>;17>30>;2>;2>1>;2>1>46>;2>1>46>2>;2>14>;2>14>41>;2>2>;2>3>;2>41>;2>46>;2>46>1>;2>46>1>2>;29>;3>;3>14>;3>2>;30>;30>14>;30>14>31>;30>14>31>30>;30>14>41>;30>30>;30>30>14>;30>30>30>;30>30>30>30>;30>30>30>30>30>;30>31>;30>31>30>;30>31>30>31>;30>32>;30>41>;30>48>;31>;31>14>;31>14>31>;31>14>41>;31>30>;31>30>14>;31>30>14>31>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>31>;31>30>31>30>;31>30>31>30>31>;31>31>;31>31>30>;31>32>;31>41>;31>41>41>;31>48>;32>;32>14>;32>31>;32>31>30>;41>;41>14>;41>2>;41>31>;41>31>14>;41>31>30>;41>41>;41>41>2>;41>41>31>;41>41>31>30>;41>41>41>;41>41>41>31>;41>41>41>41>;41>41>41>41>41>;41>41>41>41>41>41>;41>41>41>41>41>41>41>;41>41>43>;41>41>43>44>;41>43>;41>43>44>;41>43>44>44>;41>43>44>44>44>;42>;43>;43>14>;43>41>;43>44>;43>44>14>;43>44>44>;43>44>44>44>;43>44>44>44>44>;43>44>44>44>44>44>;44>;44>14>;44>14>41>;44>14>41>41>;44>14>43>;44>14>43>44>;44>44>;44>44>14>;44>44>14>41>;44>44>44>;44>44>44>14>;44>44>44>14>41>;44>44>44>44>;44>44>44>44>14>;44>44>44>44>44>;44>44>44>44>44>44>;45>;45>43>;46>;46>1>;46>1>2>;46>2>;48>;48>14>;48>29>;48>30>;48>48>;49>;49>48>;49>49>;5>;5>5>;6>;6>6>;6>6>6>;7>;7>14>;7>5>;7>5>5>;7>6>;8>;8>7>;Total Geral
27002-5489;20120202;insucesso;;;;;8;1;;;;;1;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;1;;;2;1;;;;;;;;;2;;;;;;3;1;;;2;1;;;;;2;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1;;;;;;3;;;2;;;;2;1;1;44
27129-7297;20130202;SUCESSO;1;;1;1;20;2;;1;6;1;1;;5;1;3;;;;;;1;;;;4;;2;2;2;;;;;;;2;2;1;1;1;;1;1;;;;6;1;1;1;2;;1;;2;;;;;1;;;8;2;;;;1;1;1;;;;;;;;;8;2;;;7;1;;1;1;;;;;1;1;;;;;;;;;8;2;;1;;;3;;;;3;;2;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;1;1;;;;3;1;3;1;1;;;;1;;1;1;;;;151
27350-6401;20130102;SUCESSO;1;;1;1;52;1;;;7;;;;8;;6;;5;2;;;1;;;;9;;5;2;2;;1;1;1;1;;;;1;;;;;;;;;12;;;;1;;1;;1;;;;;;;;27;5;2;1;2;18;2;9;5;3;4;1;;;2;;33;4;1;1;16;2;;10;6;4;1;;;4;2;;;;;;;;;14;;3;2;;;8;;2;;4;2;3;3;2;;3;1;3;1;1;;;4;;1;2;;1;1;1;1;4;2;1;;;;1;1;1;1;1;1;1;1;1;;;;1;;;1;1;;;;;;;;2;2;;;;2;;1;1;;;;378
27352-6401;20130102;SUCESSO;2;1;2;2;11;;;;1;;;;;;;;;;;;;;;;2;;1;1;;;;;;;;;;1;;;;;;;;;4;1;1;1;;;;;;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8;;1;;;;2;;;;1;;;;;;;;1;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;2;1;1;2;;;;;;;;;;;6;;;1;;;;1;;;62
27455-5061;20120201;insucesso;1;;1;1;15;1;;;4;3;2;2;4;1;3;;;;;;;;;;3;;1;;;;;;;;;1;;;;;;1;1;1;;;6;1;1;1;4;1;;;;;;;;3;;2;4;2;;;1;;;;;;;;;;;1;5;2;;;3;2;;;;;;;;;;;;;;;;;;3;;;;;;1;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;1;1;;;;1;;;1;1;;;;1;;1;1;;;;101
27455-6030;20130101;insucesso;;;;;5;1;;;;;2;2;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;3;;;;;;;;;;;;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;19
27455-7297;20130202;insucesso;2;1;1;1;36;11;4;2;8;3;4;3;5;2;2;;;;;;;;;;16;;2;1;;;;;;;1;;;;;;2;3;3;3;1;1;17;1;1;1;9;3;1;7;;1;1;1;1;13;2;10;7;3;;;1;1;;;;;3;1;;1;;;12;6;1;1;6;2;;;;;3;1;;;;2;;;1;2;1;2;2;32;;2;1;1;;7;;1;;3;;1;1;;;;;;;;;1;3;1;;1;;1;;;;1;;;;;;1;;;;;;;;;;2;2;2;1;1;1;2;;1;1;;2;1;2;;;;;;;;;;;2;;324
27482-4917;20120201;insucesso;1;;;;12;1;1;;2;;;;1;;1;;1;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;3;;;;1;;;;1;1;1;;;;;;1;;;;;1;;1;1;;1;1;;;;;1;;;;1;;;1;1;1;1;;;;;;1;1;;;;;;4;;;1;;;2;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;1;;1;1;1;;;;1;;1;1;;;;60
27482-5799;20130101;insucesso;1;1;;;6;;;;1;;;;2;;;;;;;;1;;;;1;;;;;;;;;;;1;;;;;;;;;;;1;;;;1;;;;;1;1;1;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;1;;;2;2;;;;;;3;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;;;;;;;1;;1;;;;;;;;;;;;;36
27482-6590;20130201;insucesso;;;;;9;;;;1;;;;4;;3;;;;;;1;;;;1;;1;;;;;;;;;;;;;;;1;1;;;;1;;;;;;1;;1;;;;;;;;4;;;;;;;;;;;;;;1;;5;;;;4;;;;;;;;;1;1;;;;;;;;;3;;;;;;3;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;;;;;;;;;;;;;50
27532-4114;20120101;SUCESSO;1;;1;1;14;1;;;1;;;;2;1;1;;;;;;;;;;5;;2;;;;2;2;;;;1;;;;;;;;;1;1;1;1;1;1;1;;1;;;;;;1;;;;4;;;;;1;;;;;1;;;;1;1;3;1;;;2;;;1;;;1;;;;;;;;1;;;;;11;;;1;;1;3;;;;;;;;;;;;;;;;;3;;;3;;1;1;1;;4;2;;;2;2;3;2;;2;1;;2;1;1;;;;1;;;1;5;1;1;;;5;4;1;;;;;;;;;;;;;127
27587-4917;20120201;insucesso;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6
27630-4114;20120101;insucesso;1;;1;1;16;;;;1;;;;1;;1;;1;;;;;;;;7;1;3;1;;;1;1;1;;;2;;;;;;1;1;1;;;3;1;1;1;2;1;1;;;;;;;;;;4;;;;;2;;2;;;2;2;;;;;5;2;;1;4;;;2;2;;2;2;;;;;;;;;;;;13;;;2;;2;7;;1;1;3;;2;1;1;;1;;1;;;;;2;2;;1;;1;1;1;1;2;;;;;;1;;;1;;;1;;1;1;1;1;1;;;1;;;;;;3;;2;;;;;;;;;;;;;145
27630-6895;20130201;insucesso;1;;1;1;8;1;;;;;;;1;;1;;;;;;;;;;4;;2;1;;;1;1;1;;;;;;;;;;;;;;1;1;1;1;1;1;;;;;;;;;;;3;;;;;;;;;;;;;;1;;3;;;;3;;;;;;;;;;;;;;;;;;;5;;;1;;1;3;;1;1;1;;;;;;;;;;;;;1;;;1;;1;;;;1;1;1;1;;;1;1;1;;;;;;;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;65
27747-5061;20120201;insucesso;1;;1;1;43;1;;;10;4;;;2;;;;;;;;;;;;5;;;;;;;;;;2;1;;1;;;;1;1;;1;1;20;1;1;1;8;;;5;;;;;2;7;3;4;10;4;;;;;;;;;4;;;;;;9;3;;;6;1;;;;;4;;;;;1;;;1;1;1;;;10;;;1;;1;1;;;;;;;;;;;;;;;;;1;;;1;;;;;;2;;;;;;;;;;;;;;;;;;1;;;1;8;3;2;;1;5;4;2;2;2;3;;;3;;2;2;;3;2;236
27760-6030;20130101;insucesso;;;;;4;2;;;;;2;1;;;;;;;;;;;;;2;;1;;;;;;;;1;;;;;;;;;;;;2;;;;1;;;;;;;;;2;1;1;2;;;;;1;;;;;1;;;;;;4;;;;2;;;1;;;;;;;;1;1;1;;1;1;;;3;1;1;;;;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;1;1;;;;;;;;;;;;;;;;;;;47
27760-6895;20130201;insucesso;1;;;;9;4;1;1;1;1;1;;2;;;;;;;;2;;1;;3;;3;2;2;;;;;;;;;;;;;;;;;;1;;;;1;;;;;1;1;;;1;;;1;1;;;;;;;;;;;;;;;3;1;1;;1;1;;;;;;;;3;1;;1;;;1;1;;;5;;;1;1;;3;;1;;2;;2;2;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;1;;;;;;;;;;;;;;;;;;;;78
27780-5799;20130101;insucesso;;;;;10;1;;1;;;;;;;;;;;;;;;;;7;;2;1;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;1;;;;;;;;;;;;;;;;;;;;21;1;;;;;10;;;;4;;2;2;2;1;;;2;2;1;1;;2;;;2;1;1;1;1;;2;2;2;1;1;;1;1;1;1;1;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;102
27780-7297;20130202;insucesso;;;;;3;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6
27820-5061;20120201;insucesso;1;;1;1;25;;;;4;;;;2;;2;;;;;;;;;;8;;4;;;;1;;;;;;;1;;;;2;1;;1;1;8;1;1;1;1;;1;;;;;;;;;;5;2;;;;1;;1;;;;;;;;;8;;;;3;1;;1;1;;;;;1;;;3;1;1;;;;;31;;2;;;;10;;;;3;;1;1;;;3;2;3;2;1;;;6;;2;4;;3;1;1;;6;3;1;;1;;4;3;1;2;2;;2;2;;;;;1;;;1;1;;;1;;;;;;;15;12;8;2;1;;;;;;242
27889-5061;20120201;SUCESSO;1;;1;1;26;5;;3;6;;;;;;;;;;;;;;;;7;;;;;;;;;;1;;;1;;;;1;1;;;;6;;;;1;;;;;;;;;1;;;1;;;;;;;;;;1;;;;;;3;1;;;1;;;;;;1;;;;;;;;;;;;;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;1;;;;;;;;;;;;;2;;;;;;;84
27928-5384;20120202;insucesso;;;;;8;2;;;1;1;;;5;1;2;;;;;;1;;;;1;;1;;;;;;;;;;;;;;;;;;;;1;;;;1;;;;;;;;;;;;3;;;;;;;;;;2;1;;;1;;5;2;;1;3;;;;;;2;1;;1;1;;1;;;;;;;3;;;1;;1;2;;1;1;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;1;;1;1;;;;64
28027-4114;20120101;insucesso;1;1;;;8;;;;1;;;;1;;;;;;;;1;;;;4;;2;1;1;;;;;;;;;;;;;;;;;;2;;;;;;1;;;1;1;1;;;;;1;;;;;;;;;;;;;;;;2;;;;1;;;;;;;;;1;1;;;;;;;;;7;;1;1;;;2;;1;;1;;1;;;;;;;;;;;1;;;1;1;;;;;1;1;1;1;;;;;;;;;;;;;;;1;1;1;;1;1;;;;;;;;;;;;1;;;;;;;60
28062-7114;20130202;insucesso;1;;1;1;17;2;;1;7;2;;;;;;;;;;;;;;;4;;3;2;1;;;;;;;;;;;;;;;;;;8;1;1;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;14;;2;;;;7;2;;;3;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;;;;;;;;;;;;;;1;;;;;;;89
28101-5384;20120202;insucesso;2;1;1;1;9;2;;1;3;;;;;;;;;;;;;;;;3;;1;;;;;;;;;;;;;;;;;;;;6;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;5;;1;1;1;;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;1;1;1;;;;;;;;;;;;;;;;;;;;;50
28101-7297;20130202;insucesso;1;1;;;10;;;;1;;;;;;;;;;;;;;;;4;;2;;;;;;;;;;;1;1;;;;;;;;2;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;1;1;;;;;;11;;1;1;;;4;;1;;1;;;;;;;;;;;;;1;;;1;;1;1;1;;2;1;;;;;1;;;1;;;1;;;;;;1;1;1;;;;;;;;;;2;1;1;;;2;;1;1;1;;;71
28136-4114;20120101;insucesso;1;;1;;7;;;;1;;;;;;;;;;;;;;;;3;;2;;;;;;;;;;;1;;;;;;;;;2;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;;;;;4;;;;1;;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1;;;;;;;;;;;;;1;;;;;;;37
28164-4114;20120101;insucesso;1;;1;1;35;1;;1;3;;;;14;1;7;;1;;;;;;;;11;2;1;;;;;;;;;2;;1;1;;1;4;4;1;2;2;5;;;;1;1;;;;;;;;;;;10;3;;;1;1;;;;;;;;1;;2;24;5;2;;8;;;1;;;;;;;;;2;;;1;;1;;22;;;3;2;;1;;1;;;;;;;;;;1;1;;;;3;;;3;1;;;;;3;1;1;;;;;;;;;;;;;;;;1;;;1;4;1;;1;;5;2;4;1;1;;;;1;;1;1;;1;;235
28164-5799;20130101;insucesso;1;;1;1;27;;;;2;;;;15;;5;;;;;;5;;;;2;1;1;;;;;;;;1;;;;;;;1;1;;;;4;1;1;1;;;;;1;;;;;;;;8;;;;;;;;;;1;;;;2;;20;;;;8;;;;;;1;;;5;2;;4;1;;;;;;17;;;2;;;4;;;;;;;;;;;;;;;;;1;;;1;;;;;;3;1;1;1;;;;;;;;;;;;;;;1;;;1;3;;;;1;;;;3;3;10;8;6;5;;3;3;1;;;203
28164-6590;20130201;SUCESSO;;;;;29;1;;;3;;;;7;;2;2;;;;;1;2;;;3;;1;;;;;;;;2;5;5;2;;;;;;;;;5;;;;;;1;;1;;;;;;;;7;3;1;;;;;;;;;;;;1;;13;;;;5;3;1;;;;;;;2;;;2;1;1;;;;;9;;1;2;;1;2;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;7;1;;;;6;4;6;;;25;11;5;2;;;;2;;;199
28177-4114;20120101;insucesso;1;;1;1;14;2;;2;;;;;1;;1;;;;;;;;1;;5;;1;;;1;;;;;;;;1;;;;;;;;;2;1;1;1;1;1;1;;;;;;1;1;;;4;2;;;1;;;;;;;;;;;;6;;;;2;1;;;;;;;;1;;;1;;1;1;;1;1;14;;;2;;;2;;;;;;;;;;;;1;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;2;;;;1;2;1;1;1;;16;4;2;3;;1;;1;;;122
28198-5490;20120202;insucesso;1;;1;1;22;;;;2;;2;;1;;;;;;;;;;;;8;;3;1;1;;3;3;;;;;;1;;;;;;;;;4;1;1;1;;;;;1;;;;;2;1;;3;;;;;3;;1;1;;;;;;;;5;;;;3;;;3;1;1;;;;;;;;;;;;;;14;1;;1;;1;8;;;;3;;1;;;;1;;1;;;;;6;;1;5;;1;;;;10;3;2;1;1;;4;2;1;2;2;;2;2;1;;;;1;;;1;;;;;;;;;1;1;;;;2;;;;;;;165
28250-4917;20120201;SUCESSO;2;1;1;1;30;2;;;3;;;;5;;;;;;;;2;;;;7;;3;2;1;;;;;;2;;;;;;;1;;;1;1;5;1;1;1;1;;;;;1;1;1;;;;;4;2;;;1;1;;;;;;;;;;1;14;;;;3;1;;1;;;;;;4;;;1;;2;;;;;17;;;3;;1;3;;;;2;;1;;;;;;;;;;;2;;;2;;1;1;1;;5;1;;;;;1;1;;1;1;;1;1;;;;;2;1;1;1;8;1;;;;;;;;;;;;;;;;;;;172
28256-5061;20120201;insucesso;;;;;5;;;;;;;;1;;1;;1;;;;;;;;1;1;;;;;;;;;;;;;;;;1;1;1;;;;;;;;;;;;;;;;;;;3;;;;;2;;1;1;;;;;;1;;3;2;1;1;3;;;2;1;1;;;;1;1;;;;;;;;;4;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;3;1;1;;;;1;;;53
28386-5061;20120201;insucesso;;;;;10;;;;4;1;;;1;;1;;;;;;;;;;3;;;;;1;;;;;;;;;;;;;;;;;5;;;;2;;;1;1;;;;;1;;1;1;;;;;;;;;;;;;;;;2;1;;;1;;;;;;;;;;;;;;;;;;;3;;;1;1;;1;;;;;;;;;;1;;1;1;;;;1;1;;1;;1;1;;;1;1;1;;;;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;59
28391-5489;20120202;insucesso;;;;;2;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;1;;;;1;1;;;;;;;;;;;;;;;;;;4;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13
29011-4114;20120101;SUCESSO;1;;1;1;32;1;;1;;;4;;2;;1;;1;;;;;;;;13;;5;1;1;2;6;6;1;1;;1;;;;;;1;1;;;;6;;;;1;;;;1;;;;;5;;;7;3;;;1;4;3;1;1;;;;;;2;;9;;;;6;;;3;1;1;;;;1;1;;;;2;1;;;;40;1;3;2;;1;17;;1;;9;1;4;2;1;;3;1;6;3;;;;16;;1;12;2;2;2;1;;20;3;2;;1;1;3;2;2;3;2;2;1;1;;;1;;1;;;1;2;;;2;;3;;1;1;1;;;;2;;1;1;;;;335
29016-4114;20120101;insucesso;1;1;;;24;;;;2;;1;;2;;1;;;;;;;;;;6;;2;;;;;;;;;;;;;;;1;1;;;;4;;;;1;;;2;;;;;;3;3;;6;;;;;;;;;;6;2;;;;;9;5;;1;6;;;;;;6;2;;1;1;2;;;;2;1;2;;20;;1;1;;1;7;;1;1;2;;2;1;1;;;;;;;;;3;;;2;;1;;;;5;;;;;;2;;;1;;;;;;;2;1;1;1;1;;;;;;;;;;;;5;1;1;4;;;;2;3;3;184
29016-5061;20120201;SUCESSO;1;;1;1;24;2;;;5;3;;;4;;2;;;;;;;;;;5;;;;;;1;1;1;;;1;;;;;;1;1;;1;1;8;;;;3;;;;;;;;;1;;;7;3;;;1;;;;;;4;3;3;;;;12;7;1;1;6;3;;;;;3;3;3;;;;;;;5;;3;;15;;;;;;4;;;;1;;;;;;;;;;;;;1;;;1;1;1;;;;1;1;1;;1;1;1;1;;;;;;;;;;;1;;;1;;;;;;2;;1;1;1;;;;1;;;;;;;175
29379-6895;20130201;insucesso;;;;;24;2;;;;;;;;;;;;;;;;;;;6;;2;1;;;1;1;1;;;;;1;;;;1;1;;;;1;;;;;;;1;;;;;1;1;1;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;1;;;;;16;;1;;;;5;;;;2;;;;;;;;;;;;;3;;;3;1;1;1;;;3;1;1;;1;;1;1;1;1;;;;;;;1;1;;;;;7;2;;;;1;;;;;5;;;1;;;;1;;;112
30492-5384;20120202;insucesso;;;;;11;;;;1;;;;;;;;;;;;;;;;2;;1;;;;;;;;;;;1;;;1;;;;;;2;;;;;;;;;;;;;;;;2;;;;;1;;1;1;;;;;;;;2;;;;2;;;1;1;1;;;;;;;;;;;;;;4;;;1;;1;1;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11;3;1;4;;;;1;1;1;62
30492-6030;20130101;SUCESSO;1;;;;15;;;;3;;;;1;;1;;1;1;;;;;;;2;;1;;;;;;;;;;;;;;;;;;;;6;;;;;;;;;;;;;;;;7;;;;;3;;2;1;;;;;;2;;5;;;;4;;;1;1;;;;;;;;;;;;;;;8;1;;1;;1;4;;;;1;;;;;;1;;1;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;3;1;6;;;3;1;;;;2;;96
30588-5490;20120202;insucesso;;;;;3;;;;;;;;;;;;;;;;;;;;2;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;2;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13
30588-5799;20130101;insucesso;1;;1;1;7;;;;;;;;;;;;;;;;;;;;3;;;;;1;3;3;2;;;;;;;;;;;;;;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;1;1;1;1;;5;;;5;1;3;2;1;;9;1;1;;;;5;1;1;3;1;;1;1;;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;76
30588-6590;20130201;insucesso;;;;;1;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3
30609-5061;20120201;insucesso;;;;;4;1;;;1;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;3;;;;1;;1;1;1;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;1;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;23
30639-5489;20120202;SUCESSO;1;1;;;19;;;;1;;;;2;;;;;;;;;1;;;9;1;2;;;1;1;1;1;1;;;;;;;;;;;;;3;;;;;;;;;1;1;1;;;;;6;1;;;;2;1;2;1;1;;;;;1;;10;;;;6;;;2;2;1;;;;;;;2;1;;;;;;12;;1;2;;1;3;;1;;;;;;;;;;1;1;1;;;3;;;3;;3;2;2;2;3;1;1;;;;3;1;1;2;1;1;2;1;2;;1;;1;1;1;;;;;;;;;;1;1;;;;1;;1;1;;;;153
30703-5384;20120202;SUCESSO;1;1;;;42;5;;;4;;1;;10;;5;;;;1;1;1;;;;7;;5;3;;1;;;;;;1;;1;1;1;;;;;4;4;7;;;;;;2;;;1;1;1;3;1;;;29;1;;;;10;1;6;5;4;3;2;;;2;4;32;1;;;19;;;4;1;1;2;1;;3;1;;2;2;2;1;;1;;26;1;;4;;1;14;;4;;7;1;1;;;;1;;3;2;1;;;9;;3;4;;3;3;3;2;18;;;;;;4;;;4;;;4;;3;;2;;1;1;1;;11;;3;2;;2;2;;6;4;8;1;;9;;4;4;;;;443
30705-5489;20120202;insucesso;1;;1;1;11;;;;1;;;;;;;;;;;;;;;;4;;;;;;;;;;;;;1;;;;;;;;;2;1;1;1;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;2;;;;1;;;;;;;;;;;;1;;;;;;;8;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;;;;;;;;;;;4;;;2;;;;1;;;48
30705-5799;20130101;SUCESSO;1;;1;1;17;2;;1;2;;;;2;;;;;;;;;1;;;9;;;;;;;;;;1;2;;;;;;;;;;;2;1;1;1;1;;;;;;;;1;1;;;1;;;;;;;;;;;;;;;;5;1;;;;;;;;;;;;1;;;1;;1;;;;;12;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;4;1;;1;;2;2;1;1;1;;;;1;;1;1;;;;90
30745-5490;20120202;SUCESSO;1;;1;1;69;1;;;4;2;;;24;1;19;3;5;2;1;;;1;;;12;1;5;1;1;;2;1;;;;;;7;4;4;;7;7;;7;7;6;;;;2;;;;;;;;;;;;40;11;1;1;3;6;1;2;1;;8;2;1;;1;2;52;3;1;1;31;8;1;5;2;1;4;1;1;2;1;;1;;;;;;;34;;;5;;2;13;;4;;4;;3;2;1;;;;1;1;1;;;6;;;4;;2;1;;;20;2;;;;;6;2;;2;1;;;;;;;;1;;;1;3;;;;;;;;5;5;3;2;;9;2;5;5;;;;562
30799-5384;20120202;SUCESSO;1;;;;52;3;;1;5;3;;;10;;9;5;3;2;;;;;;;16;;9;1;;;6;4;3;2;;;;4;;;;3;3;;2;2;10;;;;4;;;;1;1;1;;;;;;20;11;4;3;3;6;3;5;2;2;1;;;;1;;23;2;1;1;18;7;2;6;5;2;;;;1;;;1;;;;;;;54;;3;5;;1;21;;5;;5;3;2;2;1;;2;2;2;2;1;;;16;;;14;1;7;4;4;2;30;3;3;;;;9;3;3;6;3;3;5;3;3;;;;1;1;;;;;;;;;;;;;20;5;1;4;;;;2;;;563
30807-5489;20120202;SUCESSO;2;1;1;1;35;;;;2;;;;6;;2;1;1;1;;;;;;;15;1;4;;;;;;;;1;5;;1;1;1;;1;1;;;;8;1;1;1;;;;;1;;;;1;;;;5;1;1;1;1;1;;1;1;;;;;;;1;11;1;1;;5;1;1;1;1;1;;;;;;;1;1;;;;;;36;4;1;3;;2;5;;;;1;;;;;;;;;;;;;3;;;2;;;;;;16;;;;;;;;;;;;;;;;;;2;1;1;1;7;4;;1;;6;4;;2;2;;;;3;;2;2;;;;246
