IdAluno;Bimestre;Resultado;1>;1>2>;1>46>;1>46>2>;14>;14>14>;14>14>14>;14>14>2>;14>14>41>;14>2>;14>2>14>;14>2>2>;14>3>;14>3>2>;14>31>;14>31>14>;14>31>30>;14>31>30>14>;14>31>30>30>;14>31>30>30>30>;14>31>30>31>;14>31>31>;14>32>;14>32>31>;14>41>;14>41>2>;14>41>31>;14>41>41>;14>41>41>41>;14>41>41>41>41>;14>41>41>41>41>41>;14>43>;14>43>44>;14>43>44>44>;14>48>;14>49>;14>7>;14>7>5>;14>7>5>5>;14>8>;16>;16>31>;17>;17>30>;2>;2>1>;2>1>46>;2>1>46>2>;2>14>;2>14>2>;2>14>41>;2>2>;2>3>;2>41>;2>46>;2>46>1>;2>46>1>2>;29>;3>;3>14>;3>2>;30>;30>14>;30>14>31>;30>14>41>;30>30>;30>30>14>;30>30>30>;30>30>30>30>;30>30>30>30>30>;30>31>;30>31>30>;30>41>;30>48>;31>;31>14>;31>14>41>;31>30>;31>30>14>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>31>;31>30>31>30>;31>31>;31>31>30>;31>41>;31>48>;32>;32>14>;32>31>;32>31>30>;41>;41>14>;41>2>;41>31>;41>31>30>;41>41>;41>41>2>;41>41>31>;41>41>41>;41>41>41>31>;41>41>41>41>;41>41>41>41>41>;41>41>41>41>41>41>;41>41>41>41>41>41>41>;41>41>43>;41>41>43>44>;41>43>;41>43>44>;41>43>44>44>;42>;43>;43>41>;43>44>;43>44>14>;43>44>44>;43>44>44>44>;43>44>44>44>44>;43>44>44>44>44>44>;44>;44>14>;44>14>41>;44>44>;44>44>14>;44>44>14>41>;44>44>44>;44>44>44>14>;44>44>44>44>;44>44>44>44>14>;44>44>44>44>44>;45>;45>43>;46>;46>1>;46>1>2>;46>2>;48>;48>14>;48>29>;48>48>;49>;49>48>;49>49>;5>;5>5>;6>;6>6>;6>6>6>;6>6>6>6>;7>;7>14>;7>5>;7>5>5>;7>6>;8>;8>7>;Total Geral
24192-6401;20130102;SUCESSO;2;;2;2;28;1;;;;6;;1;;;4;;4;;2;1;;;;;8;;;3;1;;;;;;;;;;;;;;;;11;2;2;2;;;;1;;;;;;;;;;7;1;;;3;1;1;1;;;;;5;6;;;6;;3;1;1;;;;;;;;;;;26;;1;;;9;;;1;;;;;;;;2;;;;4;;2;;2;2;1;;5;;;2;;;2;;1;;1;;;2;;;2;5;;;;;;;;;;;;;1;;;;;;;190
24407-6030;20130101;insucesso;4;3;3;3;37;;;;;8;1;2;3;;3;1;1;;;;;;;;8;;;4;1;1;1;1;1;;;;;;;5;;;;;24;2;2;2;3;1;1;2;2;2;1;1;1;;7;;2;5;1;;1;1;;;;;1;;;;6;1;;3;1;1;;;;;1;;;;1;;1;1;34;1;2;;;12;1;;3;;2;2;;;2;1;2;1;;1;5;;4;;1;;;;16;3;1;4;1;1;1;1;1;;1;;;4;3;3;3;4;;;2;2;1;1;;;4;2;;;7;1;;;1;7;7;325
25326-4114;20120101;insucesso;1;;1;;25;2;;;1;;;;;;1;1;;;;;;;2;1;11;;;4;1;;;;;;2;1;1;;;;;;;;5;;;;2;;;;;;;;;2;;;;1;;;;;;;;;;;;;3;1;;1;;;;;;;;;;2;2;;1;1;24;;;1;;8;;1;4;;2;;;;;;1;1;1;;1;;1;;1;1;1;1;1;;;1;;;1;;1;;1;1;1;1;;;;4;3;2;1;1;1;;;;;;;;4;;;;;;;149
25326-5490;20120202;insucesso;2;1;1;1;16;;;;;2;;;;;;;;;;;;;;;8;;;1;;;;;;;;;1;;;;;;;;4;1;1;1;;;;1;1;;1;1;1;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;1;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;1;1;1;;;;;1;;1;;;;;;;1;;;;;;;67
26616-7114;20130202;insucesso;;;;;44;4;2;;;;;;9;6;;;;;;;;;9;8;10;;;2;;;;1;1;1;4;;3;1;;1;3;2;;;13;;;;4;;;4;1;;;;;1;18;1;12;15;2;;;4;;1;;;4;3;;2;18;3;3;10;2;4;1;;3;2;2;1;1;3;15;;13;7;39;1;1;2;;16;;1;5;;5;4;3;1;1;;4;2;;2;9;2;4;;2;2;1;;8;2;1;5;2;1;4;2;1;;;4;3;;;;;8;;;;;;;3;3;3;;;;6;1;2;2;;1;;453
26930-4433;20120102;insucesso;2;2;;;26;4;;1;;7;2;2;;;1;;;;;;;1;;;5;;;3;1;;;;;;;;5;1;;;1;1;;;14;;;;5;;;2;;;1;1;1;;;;;1;;;;;;;;;1;;;;6;1;1;1;;;;;1;;1;;;;;;;;7;;1;2;;3;1;1;1;;;;;;;;1;;;;3;;2;;1;1;1;1;3;;;2;;;1;;1;;1;;;2;2;2;;;;;;;;;2;1;3;1;;;5;;1;;2;;;157
26940-4435;20120102;insucesso;2;;2;2;155;30;;1;5;13;4;;1;;45;10;33;;;;;2;2;1;32;;1;9;8;3;3;4;4;3;3;3;11;5;;;1;1;;;24;1;1;1;11;3;1;;2;;;;;1;3;2;1;68;30;;2;2;;1;;;19;17;;1;81;22;7;62;24;2;1;;18;15;2;1;;1;8;3;4;2;91;1;4;6;5;25;3;2;15;;5;4;2;2;1;1;1;1;1;1;10;;9;;6;3;2;2;17;5;2;9;5;2;4;2;2;;2;;;2;;;2;7;4;1;;3;1;2;7;7;15;2;;;14;6;5;5;3;1;1;1184
27002-5489;20120202;insucesso;;;;;10;1;;;;;;;1;;2;;2;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;2;;;2;1;;;;;;;;2;;;;3;1;;2;1;;;;2;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;;;;;;3;;;;2;;;;2;1;1;47
27129-7297;20130202;SUCESSO;2;;2;2;40;4;;;1;10;2;1;2;;8;1;5;;;;;1;;;9;;;4;4;3;3;1;1;;;3;1;1;1;;1;1;1;1;10;2;2;2;3;;1;1;;2;;;;;2;;;12;3;;;1;1;1;;;;;;;12;2;;10;1;1;1;;;;1;1;;;;;;;19;3;;1;;8;;;7;;5;5;4;1;1;;1;;;;2;1;1;;;;;;1;;;;;;;;;;;;;2;;;2;2;1;;;4;2;4;3;3;;;;;3;;3;3;;;;280
27350-6401;20130102;SUCESSO;2;1;1;1;93;5;;;1;10;;1;;;13;;8;;6;3;;3;;;15;1;;7;3;2;2;1;1;1;1;;2;1;1;;1;1;;;21;;;;3;;;1;;2;1;1;1;;;;;40;6;2;2;23;2;13;7;3;6;2;4;;50;5;2;28;3;15;10;6;1;;8;6;3;1;;;;;31;1;4;7;3;16;;3;9;3;4;4;3;1;3;;3;1;1;;4;1;2;;1;1;1;;4;2;1;1;1;1;1;1;1;1;1;;;2;1;1;1;3;;;;;;;3;3;;;;;3;1;2;2;;1;;611
27352-6401;20130102;SUCESSO;3;1;2;2;22;1;;;;5;;;;;;;;;;;;;;;4;;;1;1;;;;;;;;1;;;;;;;;11;1;1;1;;;;;;;2;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19;;1;;;4;;;1;;;;;;;;1;;;;1;;;;;;;;;;;;;;;;;;;;;3;2;1;2;;;;;;;;;;6;;;;2;;;;1;;;106
27403-4435;20120102;insucesso;4;2;3;3;51;6;1;2;1;16;3;;;;6;;3;;1;;;1;;;8;;;2;2;2;;1;;;;1;10;3;;;2;2;;;24;2;2;2;4;1;1;3;;;1;1;1;;;;;7;2;;;1;;1;;;;;;;12;2;1;6;1;1;1;;;;1;;2;;;;;;40;;1;;;6;;;3;;3;1;;;;;1;1;;;2;;2;;1;;;;6;;;3;;;1;;1;;;;;4;2;2;3;8;1;;2;2;;1;7;2;76;29;12;;15;;7;2;4;;;467
27455-4434;20120102;insucesso;2;;2;2;68;10;1;2;1;14;6;;5;5;2;2;1;;;;;;;;18;;2;3;;;;2;2;;;;4;2;;2;;;;;29;;;;10;2;2;;3;;;;;;7;1;7;13;3;;2;1;;1;;;3;3;;;13;4;2;10;1;1;1;;3;3;;;;1;1;;1;1;53;;3;3;2;12;;1;3;;1;1;1;1;;;;;;2;3;;3;;1;1;1;;6;2;1;3;1;1;2;1;1;;;1;1;2;;;2;2;;;;;;;6;4;;;;;7;1;4;4;;2;2;435
27455-6030;20130101;insucesso;;;;;7;1;;;;;;;2;2;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;4;;;;;;;;;;;;;;2;;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;23
27455-7297;20130202;insucesso;2;1;1;1;58;18;7;4;3;9;4;;6;3;7;3;2;;;;;;;;20;;;2;1;;;1;1;1;1;;;;;2;5;5;;;22;1;1;1;13;2;5;1;7;;1;1;1;1;16;4;10;11;6;;1;2;;;;;4;2;;;16;7;1;8;4;;;;4;2;;;;1;2;1;2;2;40;;2;1;;7;;1;3;;1;1;;;;;;;;1;4;;2;;2;1;;;4;;;3;;;1;;;;;2;2;2;1;1;1;2;;1;;2;1;2;;;;;;;;;;;;2;;424
27482-4435;20120102;insucesso;1;;1;1;34;2;;;;6;1;;;;14;;10;;2;;;4;;;5;;1;;;;;1;;;;;1;;;;1;1;;;17;1;1;1;3;1;;1;;1;;;;;;;;36;2;;1;16;;5;4;;5;3;2;3;27;1;;22;;8;4;4;4;2;6;5;;;;;;;25;;1;2;2;11;1;1;8;;4;1;1;1;;;;;;;2;;2;1;1;;;;2;1;;1;;;;;;;;;;1;;;1;4;2;;;;;;1;1;;;;;2;;1;1;;;;354
27482-5799;20130101;insucesso;3;3;;;15;1;;;1;3;;;;;2;;;;;;;1;;;5;;;1;1;1;1;;;;;1;;;;;;;;;3;;;;3;;;;;;3;3;3;;;;;1;;;;;;;;;1;;;;3;;;1;;;;;1;;1;;2;;;;;;7;;;;;3;;;1;;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;3;3;;;;;;1;;1;;;;;;;;;;;;;;90
27482-6590;20130201;insucesso;;;;;13;;;;;1;;1;;;4;;3;;;;;1;;;3;;;3;2;2;2;;;;;;;;;;1;1;;;1;;;;;;;1;;1;;;;;;;;4;;;;;;;;;;;1;;5;;;4;;;;;;;1;1;;;;;;;5;;;;;5;;;3;;2;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;;;;;;;;;;;;;;77
27512-4435;20120102;SUCESSO;2;;2;2;48;1;;;;7;1;;;;12;1;11;;8;4;;;;;12;;;3;2;1;1;2;2;2;;;;;;;3;3;1;1;15;2;2;2;2;;;1;;;;;;;;;;25;3;2;1;13;;8;;;1;1;2;;26;1;;18;1;10;6;;1;1;2;1;1;;;;;;49;;;2;;16;;1;10;1;8;7;3;2;1;;2;2;;;6;;6;;3;2;1;;7;5;3;3;2;1;2;;1;;;1;;2;;;2;;;;;;;;;;;;;;;;;;;;;431
27532-4114;20120101;SUCESSO;2;1;1;1;25;1;;;;2;;1;;;3;2;1;;;;;;;;9;;;4;;;;2;2;;;1;;;;;;;1;1;3;1;1;1;2;;1;1;;1;1;1;1;;;;;4;;;;1;;;;;1;;1;1;5;3;1;2;;1;;;1;;;;;1;;;;;32;;;2;1;11;;;1;;;;;;;;;;;;3;;3;;1;1;1;;4;2;;3;2;;2;1;2;1;1;;;2;1;1;1;5;1;;;5;4;1;;;;;;;;;;;;;;191
27553-4434;20120102;insucesso;;;;;5;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;1;;;;;;1;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10
27586-4435;20120102;SUCESSO;4;1;2;2;73;3;;;3;9;2;1;;;24;9;11;3;1;1;4;;;;11;1;;2;2;2;2;2;1;;5;1;6;3;3;;3;3;1;1;16;;;;3;;1;1;;;;;;;;;;13;8;3;1;2;2;1;1;;5;5;;1;37;14;;13;6;1;1;1;5;5;1;;;3;;;;;27;;1;1;1;7;;1;5;1;3;2;2;1;;;1;;;;5;1;2;;1;;;;4;;;1;;;;;;;;;;4;2;1;2;14;8;;;2;1;2;4;4;30;6;3;2;9;4;4;4;1;;;526
27616-4435;20120102;SUCESSO;2;1;1;1;74;2;;;;11;2;1;13;7;11;;9;;5;3;1;1;1;;12;;;4;1;;;;;;1;;;;;;4;4;3;3;29;1;1;1;4;;;1;;1;1;1;1;;19;;10;46;4;;2;28;3;17;15;11;6;1;6;6;33;2;1;26;;16;8;7;4;;2;1;3;1;1;;1;;43;1;2;6;5;12;;2;4;;1;1;1;1;2;;4;2;1;;7;;4;;2;1;;;4;2;2;2;1;1;1;1;;;;4;;2;1;1;1;10;1;;;;;;;;;;;;1;;;;;;;636
27630-4114;20120101;insucesso;2;;2;2;37;1;;;;2;;;;;3;;2;;1;;;;;;13;;1;5;3;;;1;1;1;;5;;;;;2;2;;;5;2;2;2;4;1;2;2;;;;;;;;;;6;;;;2;;2;;;3;2;;;9;3;1;6;;2;2;;3;2;;;;;;;;;36;;1;2;2;17;;1;12;;8;5;3;1;1;;2;;;;3;;1;;1;1;1;1;2;;;1;;;1;;1;;1;1;1;2;;;2;3;;;;6;3;3;;;;;;;;;;;;;;275
27630-6895;20130201;insucesso;2;;2;2;27;6;2;1;4;2;;;;;7;1;4;;;;;;;;14;;1;5;3;;;1;1;1;;;;;;;2;2;;;3;2;2;2;1;;1;;;;;;;;;;;8;3;;1;1;;;;;1;;1;;12;6;3;7;2;;;;1;;;;;;;;;;19;;;3;2;7;;2;3;;;;;;;;;;;;1;;1;;1;;;;1;1;1;1;1;1;;;;;;;;2;;;2;;;;;;;;3;3;;;;;2;;2;2;;;;208
27706-4435;20120102;SUCESSO;2;1;1;;65;1;;;;15;2;1;;;18;;8;;1;;;2;;;13;1;;6;2;1;1;1;1;;;;;;;;5;5;5;5;29;;;;6;;;1;;3;;;;;;;;26;3;;;3;;1;1;1;1;1;2;;36;2;;17;;2;1;1;;;3;1;2;;;;;;46;;2;1;;16;;;6;;3;2;2;1;;;1;;;;3;;2;;1;;;;10;2;1;4;1;1;;;;;;;;2;1;1;;;;;;;;;;;;;;;;;;;;;;415
27738-4433;20120102;SUCESSO;2;1;1;1;48;3;;;1;9;2;3;;;7;;1;;1;1;;2;;;17;;;7;3;2;1;2;1;1;;;;;;;1;1;;;26;1;1;1;6;;;8;;3;1;1;1;;;;;18;1;;1;4;;4;2;2;4;;2;3;31;;;14;;3;3;2;4;;8;5;7;3;;;;;92;;3;7;2;40;;4;17;1;11;7;3;3;3;;5;3;1;;15;2;10;;2;1;;;37;5;1;10;1;;3;1;2;;1;;;2;1;1;1;8;;;;;;;8;5;;;;;8;;6;5;;;;627
27760-4434;20120102;insucesso;;;;;15;1;;;;4;2;;5;3;;;;;;;;;;;4;;;1;1;1;1;1;1;1;;;;;;;;;;;8;;;;4;2;1;2;;2;;;;;6;1;3;2;;;;1;;;;;1;;;;2;;;1;;1;;;;;2;1;1;;;;;;14;;2;1;;8;2;1;6;;4;4;3;2;;;1;;;;3;2;1;;1;1;1;1;1;1;;1;1;;1;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;147
27760-6030;20130101;insucesso;1;1;;;18;4;;1;;5;1;2;5;2;1;;;;;;;;;;4;;;2;1;1;1;;;;1;;;;;;;;;;17;;;;5;2;1;2;1;1;1;1;1;;8;2;4;2;;;;1;;;;;1;;;;5;;;2;;1;;;;;;;1;;1;1;;;11;1;5;;;5;3;;2;;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;1;1;;1;1;;;;;;;;;;;;;;;;;;;149
27760-6895;20130201;insucesso;2;;1;;18;8;1;1;2;3;1;1;4;1;3;;;;;;;3;2;;7;;;5;4;4;4;;;;;;;;;;1;1;;;5;1;1;;3;1;;1;;;1;1;;;6;4;1;1;1;;;;;;;;;;;;5;2;;1;1;;;;;;4;1;1;;2;1;;;10;;1;1;;5;;1;4;;4;4;4;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;1;;;1;;;;;;;;;;;;;;;;;;;;163
27764-4603;20120102;SUCESSO;2;2;;;53;;;;;4;;;;;11;;2;;;;;2;;;7;;;7;4;3;2;3;1;;;;5;1;;;4;4;;;10;;;;3;;;;;;1;1;1;;;;;13;1;;;2;;;;;2;;3;;25;4;1;7;;1;;;2;;2;1;;;;;;;45;;;1;;19;;1;10;1;6;4;1;1;1;;1;;;;11;2;2;;;;;;25;2;;7;1;;3;;2;;;;;2;2;2;;1;;;;;;;4;2;13;10;8;6;9;;1;;1;;;404
27780-5799;20130101;insucesso;;;;;21;1;;;1;;;;1;1;;;;;;;;;;;12;;;4;1;1;1;2;2;2;;;;;;;;;;;3;;;;2;;2;2;;;;;;;2;;1;;;;;;;;;;;;;;2;1;1;;;;;;;;;;;1;;;;;36;1;;;;15;;;4;;2;2;2;1;;;2;2;1;;4;;4;2;2;1;1;;4;4;3;2;2;2;1;1;1;;;;;;;;;1;;;;;;;2;1;;;;;2;;1;1;;;;177
27780-7297;20130202;insucesso;;;;;3;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6
27781-4434;20120102;insucesso;1;;1;1;11;1;;1;;3;;;;;;;;;;;;;;;5;;;3;2;1;;;;;;;;;;;;;;;6;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;1;;1;;;;;;14;;;;;6;;;2;;1;;;;;;;;;;3;;3;;;;;;6;1;;1;1;;;;;;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;82
27820-4603;20120102;insucesso;1;1;;;19;;;;;2;1;;;;1;;1;;1;;;;;;9;;;4;;;;2;1;1;;;;;;;;;;;4;;;;1;;1;;;1;1;1;1;;;;;3;2;;1;1;;;;;;;;;5;1;1;3;1;1;;;;;;;;;;;;;39;;;2;1;9;;1;1;;1;1;1;1;;;1;1;;;7;;7;;2;1;1;1;21;2;;5;1;;3;;2;;1;1;;1;1;1;;;;;;;;;1;1;;;;;1;;1;1;;;;195
27889-4434;20120102;insucesso;2;1;1;;30;4;;1;1;9;2;;;;;;;;;;;;;;6;;;1;;;;1;1;1;;;4;;;;;;;;14;1;1;;3;;1;;1;;1;1;1;1;2;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;16;;;;;2;;;;;;;;;;;;;;;2;;2;;2;1;;;2;1;;2;1;;1;1;;;;;;2;1;1;;1;;1;;;;;;;;;;;6;;;;;1;1;141
27928-5384;20120202;insucesso;;;;;9;2;;;;1;1;;;;5;1;2;;;;;1;;;1;;;1;;;;;;;;;;;;;;;;;1;;;;1;;;;;;;;;;;;;3;;;;;;;;;2;1;1;;5;2;1;3;;;;;2;1;1;1;1;;;;;;3;;;1;1;2;;1;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;1;;1;1;;;;64
27995-4435;20120102;SUCESSO;2;2;;;64;1;;;;9;1;;;;19;1;14;;3;1;3;2;;;19;;;4;1;;;;;;;;1;;;;3;2;3;3;28;;;;2;;;;;3;2;2;2;;;;;82;5;1;1;34;3;14;6;4;9;4;9;2;53;4;1;40;;15;6;3;3;;4;2;5;;1;;1;;79;;1;8;4;21;;1;7;;2;1;;;;;2;2;1;;8;;8;;5;4;1;;18;6;3;10;5;2;5;2;2;1;;;;2;2;2;;10;;;;1;1;1;12;10;16;4;1;;16;;11;10;1;;;818
28027-4114;20120101;insucesso;2;2;1;1;23;;;;;5;;2;;;1;;;;;;;1;;;7;;;2;1;1;;1;1;1;1;2;;;;;;;;;7;1;1;1;1;;;4;;1;2;2;2;;;;;3;;;;;;;;;;;;;3;1;;1;;;;;;;1;1;;;;;;;13;;1;1;;5;;1;3;;2;1;1;1;;;;;;1;2;;2;2;1;;;;2;2;1;1;;;;;;;;;;2;2;2;1;4;1;;;3;3;3;;;;;;;1;;;;;;;152
28043-4435;20120102;SUCESSO;2;;2;2;19;1;;;;9;1;3;;;;;;;;;;;;;1;;;1;1;;;;;;;3;;;;;;;;;11;1;1;1;4;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;2;7;;;;4;3;1;;;;;;;;;;;;;;88
28062-7114;20130202;insucesso;1;;1;1;38;5;;;2;12;4;1;1;1;5;;3;;;;;1;;;7;;;4;2;1;;;;;;;;;;;1;1;;;16;1;1;1;6;3;1;1;1;;;;;1;2;1;1;5;1;;;;;;;;1;;;1;8;2;;4;1;;;;1;;2;;1;3;;;;;20;;4;;;8;2;;3;;1;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;1;;;1;3;2;1;;1;;;;;;;;;2;;;;;;;208
28092-4434;20120102;SUCESSO;2;1;2;2;49;4;;;1;5;2;;;;4;1;3;2;;;1;;;;12;1;;4;1;;;3;3;;;;;;;;1;1;;;10;2;2;2;4;;1;;;;1;1;1;;;;;7;2;1;;2;;1;;;3;3;;1;8;2;1;7;2;2;1;;3;3;;;;;1;;;;35;;2;1;1;10;;1;2;;;;;;;;1;1;;;4;;4;;1;1;;;12;3;1;2;2;;2;2;1;1;;;;2;1;1;2;2;;;;;;;;;;;;;1;;;;;;;278
28101-4434;20120102;insucesso;1;;1;1;13;;;;;2;1;1;;;;;;;;;;;;;5;;;3;2;;;;;;;;;;;;;;;;4;1;1;1;3;1;1;1;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;6;;;1;;3;;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;60
28101-5384;20120202;insucesso;2;1;1;1;14;3;;1;1;5;;1;;;;;;;;;;;;;3;;;1;;;;;;;;;;;;;;;;;11;;;;1;;;1;;2;;;;;;;;;;;;;;;;;;;;;2;2;;;;;;;;;;;;;;;;;13;;2;1;;5;2;;;;;;;;;;1;1;;;2;;2;;1;1;1;1;3;;;1;;;1;;1;;1;;;2;1;1;1;;;;;;;;;;;;;;;;;;;;;98
28101-7297;20130202;insucesso;2;2;;;18;2;;;2;4;;1;;;1;;;;;;;;;;7;;;2;;;;;;;;;1;1;;;1;1;;;5;;;;3;1;;1;;1;1;1;1;;;;;1;;;;;;;;;;;1;;4;1;;1;;;;;;;;;1;;;;;;18;1;1;1;;5;;1;2;;1;1;;;;;;;;;1;;1;;1;1;1;;2;1;;1;;;1;;1;;;;;2;2;2;;;;;;;;;3;2;1;;;;3;;2;2;1;;;130
28136-4114;20120101;insucesso;2;1;1;;14;2;;;;1;;;;;;;;;;;;;;;5;;;3;1;;;;;;;;1;;;;;;;;4;1;1;;1;;;;;1;1;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;;1;;;6;;;3;;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;1;1;;1;;;;;;;;;;;;;1;;;;;;;70
28146-4435;20120102;insucesso;1;1;;;13;1;;1;;1;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;5;;;;;;;;;;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13;1;1;;;1;1;;1;;;;;;;;2;1;;;2;;1;;;;;;6;;;1;;;1;;1;;;;;1;1;1;;;;;;;;;;;;;;;;;;;;;;64
28164-4114;20120101;insucesso;1;;1;1;55;1;;;1;5;;;;;20;1;10;;1;;;1;;;13;;2;1;;;;;;;;4;1;1;;1;5;5;;;7;;;;1;;1;;;;;;;;;;;19;4;;1;3;;;;;1;1;1;3;35;5;;15;;3;;;1;1;1;1;2;;1;;1;;26;;;4;1;1;;1;;;;;;;;;1;1;;;3;;3;1;;;;;3;1;1;;;;;;;;;;;1;;;1;8;1;;;7;4;5;1;1;;;;;1;;1;1;;1;;319
28164-5799;20130101;insucesso;1;;1;1;55;1;;;;3;;;;;33;;11;;;;;6;;;5;;1;1;;;;;;;1;;;;;;3;3;;;6;1;1;1;1;;;;1;2;;;;;1;;1;18;;;;;;;;;2;;4;2;45;1;;17;;;;;2;;6;3;6;;1;;;;32;;;3;1;8;;1;2;;1;;;;;;;;;;1;;1;;;;;;3;1;1;;;;;;;;;;;1;;;1;5;;;1;;;;3;3;10;8;6;;5;;3;3;1;;;353
28164-6590;20130201;SUCESSO;1;;1;;62;4;;;1;8;1;4;;;13;;6;2;;;;1;;;8;1;;4;1;1;1;;;;2;11;2;;;;2;2;;;14;1;1;;2;;;5;;4;;;;;1;;;15;6;2;;2;1;1;1;;;;2;;25;3;;12;4;2;1;1;;;2;;2;2;;;;;29;;2;5;3;9;;2;2;1;2;1;1;1;;;;;;;1;;1;;;;;;1;;;;;;;;;;;1;;1;;;;15;3;;;12;10;12;;;25;11;5;3;2;;;;2;;;414
28173-4433;20120102;insucesso;3;1;2;;45;4;;2;1;12;1;2;;;;;;;;;;;;;10;;1;2;1;;;2;1;;;;;;;;;;;;22;;;;3;1;;4;;1;1;1;1;;;;;4;1;;;1;;1;;;;;;;4;;;;;;;;;;;;2;1;;;;;20;;2;1;;5;1;;1;;;;;;;;1;1;;;5;1;4;1;2;2;2;1;8;3;;5;1;;3;1;3;;1;1;;3;1;1;;1;;;1;;;;;;;;;;;;;;;;;221
28177-4114;20120101;insucesso;2;1;1;1;36;7;1;1;3;3;;1;2;1;1;;1;;;;;;1;;14;;;3;1;1;1;1;;;1;;2;1;;;;;;;8;1;1;1;2;;2;4;;2;;;;2;3;1;1;7;4;;2;2;;1;1;;2;2;;;8;;;4;1;2;1;1;;;1;;1;1;3;;2;2;38;1;;2;;11;;;3;;2;2;1;;1;1;5;3;2;2;7;2;4;2;2;2;1;1;4;3;2;2;1;;2;1;1;;1;3;3;2;1;1;1;4;1;;1;2;1;1;3;1;16;4;2;;4;;2;1;1;;;331
28198-5490;20120202;insucesso;1;;1;1;32;1;;;;2;;;2;;1;;;;;;;;;;9;;;3;1;1;;3;3;;;;1;;;;;;;;4;1;1;1;;;;;;1;;;;;2;1;;3;;;;3;;1;1;;;;;;5;;;3;;3;1;1;;;;;;;;;;;17;1;;1;1;9;;;3;;1;;;;1;;1;;;;7;1;5;;1;;;;10;3;2;4;2;1;2;2;2;;1;1;1;1;;;1;;;;;;;;1;1;;;;;2;;;;;;;180
28391-5489;20120202;insucesso;;;;;3;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;1;;;1;1;;;;;;;;;;;;;;5;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;16
28835-4435;20120102;SUCESSO;3;2;1;1;18;2;;;;7;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;14;;;;;;;1;;;1;1;1;;;;;3;;;;1;;1;1;;1;1;;;4;;;3;;1;1;1;1;1;;;;;;;;;6;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;2;2;1;;;;;;;;;;;;;;;;;;;;;89
