aluno;1>;2>;3>;5>;6>;7>;8>;14>;16>;29>;30>;31>;32>;41>;42>;43>;44>;45>;46>;48>;49>;1>2>;1>46>;1>46>2>;2>1>;2>1>46>;2>1>46>2>;2>2>;2>3>;2>14>;2>14>2>;2>14>41>;2>41>;2>46>;2>46>1>;2>46>1>2>;3>2>;3>14>;5>5>;6>6>;6>6>6>;7>5>;7>5>5>;7>6>;7>14>;8>7>;14>2>;14>2>2>;14>2>14>;14>3>;14>3>2>;14>7>;14>7>5>;14>8>;14>14>;14>14>2>;14>14>14>;14>14>41>;14>31>;14>31>14>;14>31>30>;14>31>30>30>;14>32>;14>32>31>;14>41>;14>41>31>;14>41>41>;14>41>41>41>;14>41>41>41>41>;14>41>41>41>41>41>;14>41>41>41>41>41>41>;14>43>;14>43>44>;14>43>44>44>;14>48>;14>49>;16>31>;30>14>;30>14>41>;30>30>;30>30>30>;30>30>30>30>;30>31>;30>31>30>;30>41>;30>48>;31>14>;31>14>31>;31>14>41>;31>30>;31>30>14>;31>30>30>;31>30>30>30>;31>30>31>;31>30>31>30>;31>31>;31>31>30>;31>41>;31>48>;32>14>;32>31>;32>31>30>;41>2>;41>14>;41>31>;41>31>30>;41>41>;41>41>2>;41>41>31>;41>41>41>;41>41>41>41>;41>41>41>41>41>;41>41>41>41>41>41>;41>41>41>41>41>41>41>;41>41>41>41>41>41>41>41>;41>41>43>;41>41>43>44>;41>43>;41>43>44>;41>43>44>44>;43>44>;43>44>14>;43>44>44>;43>44>44>44>;43>44>44>44>44>;43>44>44>44>44>44>;44>14>;44>14>41>;44>44>;44>44>14>;44>44>14>41>;44>44>44>;44>44>44>14>;44>44>44>44>;44>44>44>44>44>;45>43>;46>1>;46>1>2>;46>2>;48>14>;48>29>;48>48>;49>48>;49>49>;
36545-5384;3;15;;;;;;19;;;2;3;;14;;5;9;;3;3;;1;2;2;1;1;1;6;;;;;1;1;1;1;;;;;;;;;;;9;4;;;;;;;;;;;1;;;;;;1;;;;;;;1;1;1;1;;;;;1;;;;;1;;;;;2;;1;;;;1;1;;;;;;1;;;;4;1;;3;1;1;;;;;;3;3;1;3;;1;1;1;;1;;1;1;;1;1;1;;;1;1;2;1;;;;;
27455-4434;2;29;7;6;;7;2;68;;;13;13;1;53;2;3;6;1;2;2;;;2;2;;;;;3;10;2;2;;;;;7;1;4;;;4;4;;1;2;14;;6;5;5;4;2;2;10;2;1;1;2;2;1;;;;18;2;3;;;;;2;2;;;;;3;2;1;1;;3;3;;;4;1;2;10;1;1;1;3;3;;;;1;;1;1;3;;3;2;12;;1;3;1;1;1;1;;;;;;;3;;1;1;1;;2;1;3;1;1;2;1;1;;1;;;2;;;;;;
36244-5490;2;12;5;3;25;7;1;57;2;13;17;17;2;52;;3;2;1;2;30;24;1;1;1;1;1;1;1;;1;;;4;1;1;1;2;;2;7;4;2;2;2;;1;6;;;2;;2;1;;1;;;;;;;;1;1;7;1;3;2;;;;;;;;22;2;1;;1;1;;;;;3;1;;;5;;;;;;2;;3;4;;2;1;1;;2;1;8;1;;4;1;;;;;1;;1;;;2;;1;;;;;;1;;;;;;;;1;1;1;;10;2;22;16;
36145-5384;;10;5;;12;3;;26;;;3;3;1;14;;4;6;;;1;;;;;;;;;2;;;;;;;;2;3;;3;3;;;;1;;6;;;;;3;;;;;;;;;;;;;10;;8;3;1;;;1;;;;;;;;;;;;;;;;;;1;;;;;;;;;1;1;;;1;;1;;10;1;1;4;1;;;;;1;1;1;1;1;2;;2;;;;1;1;4;1;1;;;;;;;;;;;;;;
31380-4434;2;29;;;6;2;;52;2;;11;12;;40;;13;16;1;2;1;;1;1;1;;;;4;;9;4;3;4;;;;;;;3;1;;;;;;21;3;6;;;1;;;1;;;;1;;;;;;16;2;7;4;3;2;2;1;1;;;;2;4;2;3;1;;;;;;1;1;;5;2;1;;;;1;;1;1;;;;5;1;6;3;12;2;1;7;5;3;2;1;1;1;;4;3;2;10;;7;6;3;2;3;2;9;3;2;8;3;6;3;1;2;1;1;;;;;;
35410-4917;1;9;1;1;9;5;1;50;;1;3;7;;30;;2;2;;1;4;3;;1;1;;;;1;1;2;1;1;3;;;;1;;1;5;;1;1;;;1;3;;1;;;2;1;;1;;;1;;;;;;;13;1;4;2;1;;;;;;1;1;;;;1;;;1;;;;;;;2;;;;1;;;;2;1;;;;2;2;3;2;12;1;2;7;4;1;1;1;1;1;1;1;1;;2;;;;;;;;;;;;;;;;;;1;;1;2;1;1;
27820-5061;2;13;;;15;3;;40;3;;7;11;;49;;7;7;;2;2;;1;1;1;1;1;1;3;;3;1;;1;1;1;1;;;;12;8;;;;2;;6;2;;;;1;;;2;;;2;3;;2;;;;14;;5;;;;;1;;;;;1;2;;2;1;;1;;1;;1;;1;5;1;2;1;;;3;2;4;2;;;;2;;1;;14;;;3;1;1;;;;3;2;4;2;1;4;;3;1;1;;3;1;4;3;1;2;2;2;;;1;1;1;;;;;;
28027-4114;2;7;;;;1;;23;;;3;3;;13;1;2;2;;2;4;3;2;1;1;1;1;1;4;;1;;;1;2;2;2;;;;;;;;;;;5;2;;;;;;;;;;;1;;;;;;7;;2;1;1;;;1;1;1;1;2;;;;;;;;;;;1;;;1;;;;;;1;1;;;;;;1;;1;;5;;1;3;2;1;1;1;;;;;;;2;2;1;;;;2;1;1;;;;;;;;2;2;1;1;;;3;3;
33168-4434;2;9;2;;;1;;20;;;1;1;;11;;5;8;1;2;;;;2;2;2;2;2;;1;;;;1;;;;;1;;;;;;;;;8;;;;;1;;;3;2;;;;;;;;;3;;2;1;;;;2;1;1;;;;1;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;3;;;1;;;;;;;;;;;5;;5;3;1;1;3;1;7;3;1;4;2;1;1;;;;2;;;;;;
31570-4114;2;9;1;4;;4;1;45;1;;11;13;2;71;2;8;15;1;2;1;;1;1;1;1;1;1;;;1;;;1;;;;;;3;;;4;3;;;1;2;;;;;;;;;;;;4;;2;1;1;1;20;;7;3;2;1;;1;;;;;1;;;6;3;2;1;1;1;1;1;;1;10;;5;3;1;1;1;1;1;;;2;2;;1;5;3;23;;3;12;8;3;2;1;1;1;1;3;2;;5;1;1;;;;3;;3;1;;1;1;;;1;1;1;1;;;;;;
21629-5061;1;27;;6;1;7;;52;;;29;28;;34;;6;5;;1;2;1;;1;;;;;5;;2;;;2;;;;;;6;;;6;6;1;;;14;3;;;;1;1;;4;3;1;;8;;5;3;;;5;;;;;;;1;;;;1;;3;1;14;6;3;5;4;7;1;;;;23;;12;5;3;2;4;3;2;;;;;;;4;3;13;;3;5;3;3;;;;;;1;1;1;4;;3;3;2;2;1;1;3;1;1;3;1;2;2;;;;;;;1;1;1;
22271-4917;;1;;;;;;15;;;;1;;10;;1;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;1;;1;;;;;;;;;;;;;;;;8;1;3;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;3;;;2;1;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
31456-4917;;3;;2;4;2;;25;;;2;4;;24;;6;5;;;1;;;;;;;;;;1;;1;;;;;;;1;2;1;1;1;;;;1;;;;;1;;;2;;;1;;;;;;;12;2;2;1;1;;;1;;;;;;1;;1;;;;;;;1;;1;1;;1;;;;;;1;1;;;;;1;2;1;5;;;3;2;;;;;;;;;;3;;3;1;1;1;1;;4;1;;2;1;2;1;;;;;;;;;;
35698-7297;;1;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35950-5799;2;5;;;;;;28;;;1;2;;22;;1;;;2;;;2;;;;;;;;1;1;;1;1;1;1;;;;;;;;;;;2;;;;;;;;1;;;;1;;;;;;8;;5;1;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1;1;6;;1;1;;;;;;1;;1;;;;;;;;;;;;;;;;;;;2;2;;;;;;;
22977-4434;2;21;1;1;9;7;2;100;3;;20;39;3;41;1;6;6;;2;;2;;1;;1;1;;;;7;;3;;;;;;;1;1;1;1;1;1;3;;12;;3;;;2;;2;4;;;;27;2;13;10;2;1;24;;16;13;6;4;4;1;1;;;;3;1;;14;8;6;5;2;;;10;3;4;18;1;14;8;2;;6;3;4;;;1;;6;2;8;1;27;4;7;20;11;7;7;7;6;2;1;4;3;3;4;;4;4;4;3;4;3;5;3;2;5;3;5;4;;1;;;;;;;2;
40838-7114;1;14;;;;1;;16;;;6;7;1;13;;1;1;;1;1;;1;;;;;;;;;;;5;;;;;;;;;;;;;;5;;;;;;;;;;;;1;;1;1;;;3;;1;;;;;;;;;;;2;1;4;;;;;1;1;;;;4;;4;;;;1;1;1;1;;1;;4;;2;1;4;2;1;1;1;;;;;1;1;1;1;;1;;;;;;;;;;;;;;;;1;1;;;;;;;
23182-6030;1;2;;;;;;6;;;;;;7;;1;4;;1;;;;1;1;1;1;1;;;1;1;;;;;;;;;;;;;;;;1;;1;;;;;;;;;;;;;;;;2;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;1;;;;;;
32035-7114;2;9;9;2;1;5;2;24;1;;1;3;;11;;1;1;;2;;;1;;;;;;1;;2;;;;;;;4;3;1;1;;1;1;1;1;2;1;;;7;4;3;;1;6;;1;2;2;;1;;;;6;;3;2;1;;;;;;;;1;1;;;;;;;;;1;;;1;1;;;;;;;;;;;;2;;;;4;1;;2;1;;;;;1;1;1;1;;1;1;;;;;1;1;;;;;;;;;2;1;;;;;;;
21321-4434;2;13;;;8;6;;44;;;12;10;;25;;4;4;;2;14;4;2;;;;;;2;;1;;1;1;2;2;2;;;;4;2;;;1;;;6;2;;;;3;;;2;;1;2;2;;2;;;;16;;3;2;;;;1;1;;1;;;3;;1;;;2;1;1;1;;;;9;3;;;1;;;;1;;;;;2;;1;;7;1;1;5;1;;;;;1;1;1;1;;4;1;2;1;;;2;2;2;1;1;1;;;;;2;2;;;;7;3;1;
35754-6895;3;10;;;;1;;38;;;;3;;37;;4;10;;3;;;;3;2;2;2;2;3;;1;1;1;2;;;;;;;;;;;;1;;7;3;1;;;;;;1;;;1;2;1;;;;;17;;4;3;2;2;2;1;1;;;;;;;;;;;;;;2;1;;;;;;;;;;;;;;;;1;;;9;;;4;3;2;2;1;1;;;1;1;;4;;;;;;1;1;2;1;1;;;;;;;;2;;;;;;
44033-6590;2;6;;2;3;6;2;57;1;2;12;16;2;23;;1;1;;2;4;;1;1;1;1;1;1;;;;;;;1;1;1;;;1;2;;2;1;;3;1;3;;;;;4;1;2;27;1;12;11;11;4;7;;;;21;4;7;2;1;;;;;;1;;1;7;;;;;5;5;;;5;2;1;10;5;;;4;4;1;1;;2;;2;1;2;4;5;1;7;;;2;1;;;;;;;;;;1;1;;;;;1;1;;;;;;;;;1;1;1;1;2;1;;;
31806-4114;2;19;13;4;3;8;6;51;1;3;4;7;6;45;;4;8;3;2;7;2;1;1;1;1;1;1;;1;7;;2;5;;;;5;6;4;;;3;3;1;;6;5;;1;9;2;2;;4;6;2;2;1;2;;1;;2;1;12;;4;;;;;;;;1;;1;1;;;;;2;1;;1;2;1;;3;;;;2;1;2;1;;3;2;3;;3;1;1;;16;1;1;4;2;;;;;;;1;1;;3;3;;;;;3;;1;;;;;;;2;1;1;1;;3;;;1;
33521-4434;;3;;;2;2;;21;1;;2;5;;20;;6;19;1;;1;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;2;;;;;;;;;;11;;5;1;;;;2;2;1;;;;;;2;;;;;;;3;;1;1;;1;;;;;;;;;;;;2;3;;8;;2;2;1;;;;;1;1;1;1;;6;;2;1;;;;;6;;;1;;;;;;;;;;1;;;
39065-5384;1;8;2;;1;3;;9;;1;3;4;2;8;;1;;;1;2;1;;1;1;1;1;1;3;1;2;;;;;;;1;;;1;;;;1;;;3;1;1;1;;;;;2;;;1;1;;1;1;;;2;;1;1;;;;;;;;;;;;2;1;1;;;;1;;;;2;;2;1;;;;;1;1;1;;;1;1;1;1;3;;1;3;2;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;;1;;
41138-6030;1;12;;11;;10;1;33;;;4;7;;24;;9;17;;1;1;;1;;;;;;;;1;1;;1;1;1;1;;;8;;;9;6;;;;8;;;;;2;2;1;2;1;;1;2;;;;;;8;;3;2;2;1;;;;;;;;;;1;;;1;;;;2;1;;2;;1;;;;1;1;;;;;;;;;;11;;;7;5;2;1;;;3;1;7;4;2;6;;4;2;;;1;;8;;;3;;1;1;;1;1;;;;;;;
31165-4448;2;20;1;;10;3;2;50;;;3;5;2;47;;12;25;1;2;1;;1;1;1;1;1;1;1;;5;1;1;;1;1;1;1;;;4;2;;;2;;2;11;1;2;;;1;;1;5;3;;2;2;;1;;2;;16;;7;1;;;;2;;;;;;1;;1;;;1;;;;;;;3;1;1;;1;;2;1;3;;1;;;5;;2;;15;2;2;5;3;1;;;;2;1;4;3;2;9;1;4;3;2;1;1;1;6;;;3;;2;1;1;1;1;1;1;;;;;
36131-5489;3;16;4;;;2;;98;3;;30;37;14;160;;10;9;2;3;2;1;2;2;2;1;1;1;3;1;7;1;2;1;1;1;1;2;2;;;;;;;1;;7;;4;1;;1;;;7;;1;3;5;1;4;1;7;6;35;1;20;5;2;1;1;4;2;2;;;3;14;5;6;2;1;6;5;;1;6;;1;27;9;5;2;4;3;4;2;;;2;12;8;2;5;5;2;64;;1;24;16;9;5;4;4;1;1;2;2;1;6;;5;2;;;3;;8;3;;5;2;2;1;2;2;2;2;;;;;;
44112-7114;1;17;1;10;2;12;;54;;1;1;4;2;29;;1;1;;1;7;;1;1;1;1;1;1;4;;9;2;2;3;1;1;1;;;9;;;9;8;;2;;7;3;2;1;;8;7;;5;;1;2;2;1;;;;;14;;4;;;;;;;;3;;;;;;;;;;;1;2;1;1;1;;;;;;2;;1;;1;1;1;3;3;;;7;;;;;;;;;;;;;;1;;1;;;;1;;1;1;;;;;;;1;1;1;2;1;;;;
38165-5384;;2;1;;;2;;8;;;1;2;;2;;;;;;1;;;;;;;;;;1;;;;;;;1;;;;;;;;1;;1;;1;1;1;1;;;2;;;;2;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;
27455-6030;;4;2;;;;;7;;;1;;;;;;;;;1;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;2;2;;;;1;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27455-5061;2;13;6;2;;2;;37;2;;8;9;;7;;1;;;2;1;1;1;1;1;1;1;1;;1;8;1;3;;1;1;1;3;1;2;;;2;2;;;;8;;5;4;2;;;;8;1;;;6;2;3;;;;5;;2;;;;;;;;;1;2;4;1;;;;;;1;1;3;1;;5;3;;;;;;;;;;;;;1;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;1;;;;;
32895-6030;3;24;3;6;35;20;8;115;6;;21;33;12;79;;10;12;;3;8;;2;1;1;1;1;1;2;3;10;1;3;1;1;1;1;2;1;4;7;2;6;4;2;4;5;13;2;4;;;7;3;6;10;1;;5;12;2;8;;5;4;39;1;15;7;4;4;3;5;5;4;5;;6;10;1;;;;2;1;1;;9;2;3;16;8;;;2;1;2;;;;7;4;4;3;6;5;1;40;3;3;17;10;8;6;5;1;1;1;3;3;2;8;1;7;6;4;3;5;3;7;4;;6;4;4;3;;2;2;1;4;;;;;
34845-4434;2;6;2;;6;4;2;44;2;;9;13;3;31;;6;8;;2;3;1;;1;;1;1;;1;1;2;;;;1;1;;1;1;;2;1;;;1;2;2;4;1;1;;;;;2;4;;1;;3;;3;;;;7;1;3;2;2;2;2;1;1;;1;1;2;4;1;1;;;;;;;2;;;9;3;1;;;;;;;;1;2;;;;1;1;7;;;4;3;3;3;3;3;1;;1;;;4;2;1;1;1;;4;2;3;1;1;3;1;2;1;;1;;;;;;1;1;
32030-7297;3;11;;;;1;;34;2;;6;10;;30;;2;2;;3;;;;3;3;2;2;2;2;;5;;1;;;;;;;;;;;;;1;;1;;;;;;;;2;;;;2;;;;;;9;;;;;;;1;1;;;;2;4;2;2;;;;;;;2;1;;5;1;2;;;;1;;;;;;;4;;1;;7;;1;5;3;2;2;1;;;;;;;2;;2;1;;;2;;2;2;;1;1;;;;;;3;;;;;;
22977-5799;3;6;;1;;1;;39;;;4;12;1;25;;2;;;3;;2;;3;1;3;3;1;;;2;;;1;;;;;;1;;;1;1;;;;3;;;;;1;1;;3;;;;7;;2;2;;;10;;4;2;2;2;2;1;;;;1;;2;2;2;1;1;1;1;1;;5;;1;3;1;2;1;;;;;1;;;;;3;;3;1;12;1;1;7;5;4;3;2;1;1;;1;;;;;;;;;;;;;;;;;;;;;1;;;;;2;
28164-4114;1;7;;1;;1;1;55;5;;19;35;1;26;;3;3;;1;8;7;;1;1;;;;;;1;;1;;;;;;;1;;;1;1;;;;5;;;;;1;1;1;1;;;1;20;1;10;1;;;13;2;1;;;;;;;;;4;5;4;1;3;;;1;1;1;3;5;2;;15;;3;;1;1;1;1;2;;;1;;;;4;1;1;;1;;;;;;;;;1;1;;3;1;;;;;1;1;;;;;;;;;;;1;1;;;4;5;
30985-4433;1;15;7;;10;10;3;18;;;3;9;2;37;;5;28;1;1;;;;1;;1;1;;2;1;;;;2;;;;7;;;1;1;;;3;;3;1;;;4;4;1;;3;;;;;;;;;2;1;2;;1;;;;;;;;;;;;;1;;;2;;1;;;;;3;;1;;1;;1;1;1;;;1;;1;;3;1;8;1;3;2;;;;;;;;;;;5;;1;1;1;;;;4;;;1;;1;;1;;;;;;;;;
22433-4434;1;7;;;;1;;13;;;1;3;;23;;1;5;;1;;;;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;1;;;;;;;;2;;;1;1;;1;1;;;4;;2;1;;;;;;;;;;;;1;;;1;1;;;;;;1;;1;;;;;;1;;;;;2;1;2;;9;1;;2;;;;;;;;;;;1;;;;;;;;1;;;1;;1;1;;;;1;;;;;;
27747-5061;4;44;8;3;10;6;4;83;1;2;20;15;3;32;;2;6;;4;9;6;1;4;4;3;3;3;;6;13;5;;;1;1;1;5;4;3;;;3;3;1;1;3;19;;4;;;2;;1;8;1;;;3;;1;;;;9;;;;;;;;;;3;2;1;11;;1;;;7;3;;;3;;;11;5;;;6;2;;;;1;3;;;2;;1;1;8;1;;1;;;;;;;;1;1;;2;;;;;;1;;3;1;;1;1;;;;1;1;4;4;2;2;4;3;
40720-7297;2;9;;1;;1;;24;;2;4;5;;23;1;2;2;;2;2;;;2;;1;1;;;;1;;1;1;;;;;;1;;;1;1;;;;3;;;;;1;1;;4;1;1;2;1;;1;;;;7;;3;2;1;1;1;;;;;;;1;;1;;;;;;1;1;;;4;1;;;;;;;;;;;;;;2;1;11;;;5;3;2;2;1;1;;;1;1;;2;1;1;1;1;;1;;1;;;1;;1;;;;;;;2;;;;
27780-7297;;;;;;;;3;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27780-5799;;3;2;2;;2;;21;;;;2;;36;;4;4;;;1;;;;;;;;2;;2;;2;;;;;1;;1;;;1;1;;;;;;;1;1;;;;1;;;1;;;;;;;12;;4;1;1;1;1;2;2;2;;;;;;;;;;;;;1;;1;;;;;;;;;;1;;;;;1;;;15;;;4;2;2;2;1;1;;;2;2;1;4;2;2;1;1;;4;3;2;2;2;1;1;1;;;;;;;;;;;
36510-5489;;2;1;;;;;18;1;;4;4;4;16;4;5;12;3;;1;;;;;;;;;;2;;;;;;;1;;;;;;;;;;1;;1;;;;;;2;;1;;;;;;1;1;4;;1;1;;;;;;;;;1;2;1;1;1;;1;1;;;;;;4;1;;;1;1;;;;1;;4;2;;2;1;1;8;;;4;2;1;;;;;;1;;;4;;2;;;;1;;4;1;;;;;;3;;;;;;;;;
26616-7114;;13;18;3;3;6;1;44;3;1;15;18;15;39;2;9;8;4;;8;;;;;;;;4;1;4;;;;;;;12;1;3;;;2;2;;1;;;;;9;6;3;1;1;4;;2;;;;;;9;8;10;;2;;;;;1;1;1;4;;2;2;;4;1;;4;3;;2;3;;3;10;2;4;1;3;2;2;1;1;3;;13;7;1;1;2;;16;;1;5;5;4;3;1;;1;;4;2;;4;;2;2;1;;2;1;5;2;1;4;2;1;;3;;;;;;;;;
27928-5384;;1;;1;;1;;9;;;3;5;;3;;1;;;;;;;;;;;;;;1;;;;;;;;;1;;;1;1;;;;1;;1;;;;;;2;;;;5;1;2;;;;1;;1;;;;;;;;;;;;;;;;2;1;1;;2;;1;3;;;;2;1;1;1;1;;;;;;;1;1;2;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31831-7297;;1;;;;;;2;;;1;1;;4;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;2;1;;;;;;;;;;;;;;;;;;;;1;1;;1;1;;;;;;1;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27482-4435;1;17;;1;;2;;34;1;;36;27;;25;;2;2;;1;4;;;1;1;1;1;1;1;;3;1;;1;;;;;;1;;;1;1;;;;6;;1;;;1;;;2;;;;14;;10;2;;;5;1;;;;;;1;;;;;1;2;1;16;5;4;5;3;2;3;1;;;22;;8;4;4;2;6;5;;;;;;1;;2;2;11;1;1;8;4;1;1;1;;;;;;;2;1;1;;;;1;;1;;;;;;;;;;1;2;;;;;
18444-5384;3;8;5;;;;;11;;;;;;3;;1;6;;3;;;2;1;1;1;1;1;;1;3;1;;;1;1;1;3;3;;;;;;;;;3;;1;5;2;;;;1;;;;;;;;;;3;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;1;;;;;;1;1;1;1;1;1;1;;;;2;2;1;;;;;;
27403-4435;4;24;;7;76;15;;51;2;;7;12;;40;;2;6;;4;8;2;2;3;3;2;2;2;3;;4;1;1;;1;1;1;;;2;29;12;7;2;4;;;16;;3;;;10;3;;6;2;1;1;6;;3;1;;;8;;2;2;2;;;1;;;;1;2;2;;1;1;;;;;;2;1;1;6;1;1;1;;;1;;2;;;;;1;;;;6;;;3;3;1;;;;;;1;1;;2;;1;;;;;;3;;;1;;1;;;2;2;3;1;;2;;1;
31359-6590;2;8;8;;;3;;44;1;1;2;5;1;28;;3;4;;2;7;5;2;;;;;;;;;;;2;;;;4;1;;;;;;;1;;;;;5;2;3;;;;;;;2;;;;;;9;;4;4;2;;;;;;;1;1;;;1;;;;;;1;1;1;;2;;1;;;;;;1;1;1;;;1;;;;6;1;;5;3;;;;;;;2;1;1;2;;1;1;1;1;1;1;2;;;1;;1;1;;2;2;;1;1;1;4;4;
40277-6590;;1;;;;;;12;;;;;;7;;3;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;3;3;3;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;;3;3;1;1;1;1;1;;1;;;2;;2;2;1;;;;2;;;2;;1;;;;;;;;;;;
31569-4114;3;12;2;12;25;20;11;68;;21;12;14;4;56;1;12;15;1;3;24;8;2;1;1;1;1;1;3;1;6;1;1;;2;2;2;;1;10;8;4;10;9;5;2;9;5;1;;;;6;4;6;6;;;2;6;;2;;3;1;17;2;7;3;2;1;1;5;5;2;;6;;4;;2;;;2;;;4;4;1;1;2;;;;;;1;;2;7;2;1;;2;3;5;;17;;1;5;3;1;1;1;;1;1;3;3;1;11;3;2;2;1;;4;;4;2;;2;2;1;;1;2;2;1;1;20;5;8;1;
31755-4917;;;;1;;1;;17;1;;3;7;;14;;2;8;;;;;;;;;;;;;;;;;;;;;;1;;;1;1;;;;;;;;;;;;;;;;2;1;1;;;;6;;2;;;;;;;;;;1;1;1;;;;2;2;;;3;2;1;3;1;;;1;1;;;;;;;;;;1;1;4;;1;1;;;;;;;;;;;2;;2;2;1;;1;;6;;;3;;1;;;;;;;;;;;
36099-6895;1;2;;;2;1;;21;1;;3;6;;15;;4;7;;1;;;1;;;;;;;;;;;;1;1;1;;;;1;;;;1;;;;;;;;1;;;1;;;;3;;1;;;;6;;2;;;;;;;;;;1;;;;;;;;1;;1;;1;3;;;;;;;;;;;;;;;2;2;5;;1;1;;;;;;;;1;1;;4;;2;;;;;;3;;;1;;;;;1;1;;;;;;;
40197-7114;1;39;;4;1;3;;83;1;4;9;10;1;51;;2;3;;1;6;;;1;;1;1;;5;;5;;2;2;;;;;;;;;3;;;;;28;4;3;;;2;2;;18;7;4;1;6;1;4;;;;15;1;6;1;;;;2;2;2;;;1;3;;2;;;1;1;;1;2;1;1;7;3;;;1;1;;;1;;;;;1;1;2;1;20;;1;6;1;;;;;;;;;;2;;2;2;2;1;2;1;3;2;1;2;1;2;1;;;;;;4;;;;
31810-4435;2;14;4;;10;5;;13;;;;2;1;3;;2;1;1;2;1;;1;1;1;;;;1;;;;;;1;1;1;2;1;;;;;;;;;3;1;;3;2;2;;;;;;;;;;;;;1;;1;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;;;;;;1;;2;;1;1;1;1;1;1;1;;;;;;1;;;;;;;;;;;;;;;1;1;1;2;;;;;;
17491-4917;1;2;1;1;;2;;32;1;;2;6;3;18;1;1;4;2;1;2;2;1;;;;;;;;;;;;1;1;1;;;1;;;;;;;;1;;;1;;1;;;1;;;;3;1;;;2;;2;;;;;;;;;;;;1;1;;;;;;;;;1;;;1;;;;;;3;;1;;1;;;1;;;;7;1;;2;2;;;;;;;;;;1;;;;;;1;;2;1;;1;1;;;1;1;1;;;;;1;;
25326-5490;2;4;1;;;1;;16;;;;;;10;;;;;2;;1;1;1;1;1;1;1;1;1;;;;;1;1;1;1;;;;;;;;;;2;;;;;1;;;;;;;;;;;;;8;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;;;;;1;
27760-6030;1;17;8;;;;;18;;;2;5;1;11;;;;1;1;1;;1;;;;;;2;1;5;2;1;1;1;1;1;4;2;;;;;;;;;5;2;1;5;2;;;;4;1;;;1;;;;;;4;;2;1;1;1;1;;;;1;;;;;1;;;1;;;;;;;2;;1;;;;;;1;;1;;;5;1;;;5;3;;2;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;1;1;;1;;;;;
27820-4603;1;4;;1;;1;;19;;;3;5;;39;;7;21;1;1;;;1;;;;;;;;1;;1;1;1;1;1;;;1;;;1;1;;;;2;;1;;;;;;;;;;1;;1;1;;;9;;4;;;;;2;1;1;;;;2;1;1;;;;;;;1;;1;3;1;1;;;;;;;;;;;;;2;1;9;;1;1;1;1;1;1;;;;1;1;;7;;2;1;1;1;2;;5;1;;3;;2;1;;1;1;;;;;;;
