aluno;1>;2>;3>;5>;6>;7>;8>;14>;16>;17>;29>;30>;31>;32>;33>;34>;36>;38>;39>;41>;46>;48>;49>;1>2>;1>46>;1>46>2>;2>1>;2>1>46>;2>1>46>2>;2>2>;2>2>31>;2>3>;2>14>;2>14>31>;2>14>41>;2>31>;2>31>30>;2>31>30>30>;2>41>;2>41>41>;2>46>;3>2>;3>14>;5>5>;6>6>;7>5>;7>5>5>;14>2>;14>2>2>;14>2>14>;14>2>31>;14>2>31>30>;14>2>41>;14>3>;14>3>2>;14>7>;14>14>;14>31>;14>31>14>;14>31>30>;14>31>30>30>;14>31>30>30>30>;14>31>30>30>30>30>;14>31>31>;14>31>41>;14>32>;14>32>31>;14>32>31>30>;14>38>;14>39>;14>41>;14>41>2>;14>41>31>;14>41>41>;14>41>41>41>;16>31>;17>30>;17>30>14>;17>30>30>;30>2>;30>14>;30>14>2>;30>14>41>;30>17>;30>17>30>;30>30>;30>30>14>;30>30>30>;30>30>30>30>;30>30>30>30>30>;30>30>30>30>30>30>;30>30>31>;30>31>;30>31>30>;30>41>;30>48>;31>2>;31>14>;31>30>;31>30>14>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>30>30>30>30>;31>30>31>;31>30>31>30>;31>30>41>;31>30>48>;31>31>;31>31>30>;31>41>;31>48>;32>31>;32>31>30>;34>38>;36>14>;36>34>;36>34>38>;36>36>;36>36>36>;36>36>36>36>;36>36>36>36>36>;36>38>;38>14>;38>33>;38>36>;38>41>;41>2>;41>14>;41>31>;41>31>30>;41>38>;41>41>;41>41>2>;41>41>31>;41>41>41>;41>41>41>41>;41>41>41>41>41>;46>1>;46>1>2>;46>2>;48>14>;48>30>;48>48>;49>48>;49>49>;
31761-5469;1;29;3;;1;4;;61;1;;;17;20;;2;1;10;10;4;72;1;2;;;1;1;1;1;1;11;;3;2;;2;;;;8;1;;2;1;;;;;11;3;1;;;3;;;1;1;8;1;5;1;;;;;;;;5;1;23;3;;9;3;1;;;;1;2;;;;;8;1;3;2;;;;;;4;1;;1;11;;5;1;1;;;;4;;;;1;;;;;;1;;1;;;;3;;2;5;2;7;3;1;1;1;16;1;1;4;;;;;1;;1;2;;;
36230-5468;1;5;2;2;;2;;17;;;;2;4;;;;;;;8;1;1;;;1;1;1;1;1;2;;;1;;;;;;1;;;;;1;;2;1;4;2;;;;;2;;1;;1;;;;;;;;;;;;;4;;1;1;;;;;;;;;;;;1;;1;1;1;;;;;1;;;;2;;1;1;1;1;;;1;;;;;;;;;;;;;;;;;;;;;1;;1;1;;2;;;;;;;;1;;;1;;;
36227-5469;;3;;2;;3;;9;1;;1;3;3;;;;;;;6;;2;;;;;;;;;;;1;1;;;;;1;1;;;;2;;2;2;1;;;;;;;;2;2;2;;1;1;1;;;;;;;;;2;;;1;;1;;;;;;;;;;1;;1;;;;;;;;;;;1;;1;1;;;;;;;;;;1;;;;;;;;;;;;;;;;1;;;;;4;;;2;1;1;;;;;;1;;;
37601-5469;;;;;;;;1;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21708-5468;;13;;;;1;;83;1;4;;34;48;;1;1;2;10;;16;;2;3;;;;;;;1;;;;;;3;1;;;;;;;;;;;6;;;3;1;;;;;3;37;;21;9;5;3;2;1;;;;6;;5;;;2;;1;4;1;;;4;1;;1;1;15;1;7;3;1;;2;5;3;;;2;1;29;1;12;6;3;1;3;2;;;4;;2;;;;;;1;;;;;;1;;1;1;1;1;1;2;2;;3;;1;;;;;;;;;;2;2;
18184-7098;1;7;1;;4;3;;15;;;1;;2;;;;;;;1;1;6;;;1;1;1;1;1;;;1;1;;;;;;;;;1;;;1;;;2;;;;;;;;3;;1;;;;;;1;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;
21340-5468;2;14;5;;1;2;3;43;3;;;14;15;2;2;1;4;6;;32;2;2;4;1;1;1;;;;1;;;7;;4;;;;2;;1;1;1;;;;;5;1;1;;;1;;;1;5;2;;1;1;;;;;;;;2;;11;;1;1;;3;;;;;3;1;;;;7;1;3;1;;;1;1;1;2;1;1;1;10;2;7;3;1;;;;1;1;1;1;2;;2;2;1;;1;1;3;3;2;2;;2;2;1;;1;1;2;1;1;4;;;;;;1;1;1;;;;;1;
36150-5388;3;35;7;;;2;;68;2;1;;28;35;4;1;1;8;17;4;47;3;2;;;3;3;3;2;1;10;3;1;2;;2;8;6;3;5;1;;5;;;;;;9;3;;;;3;5;5;1;2;6;;3;1;1;1;;;2;2;2;7;3;14;;;4;3;2;1;;;2;2;1;;;;8;;3;3;1;1;;;;4;2;1;1;23;1;7;3;3;1;;;2;;1;;3;1;3;2;1;2;1;1;2;1;;;;2;1;2;5;6;1;2;2;3;11;2;;6;2;2;1;;3;;1;1;;;
36318-6398;;1;;;;1;;9;;;;;3;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;;;;;;;1;;;;;;3;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;2;;;1;1;1;;;;;;;;;
30760-5388;;7;;2;;2;;48;;19;;47;28;;;;;3;;13;2;11;1;;;;;;;1;;;;;;3;3;1;1;1;;;;2;;1;1;4;1;;;;1;;;2;1;16;;15;1;;;1;;;;;2;;5;1;;1;;;17;5;2;;5;1;1;2;1;4;;;;;;;;;3;4;;;24;;2;;;;;;3;3;2;1;;;;;;;;;;;;;;;;;2;3;;1;1;;2;1;;;;;;;;1;;3;1;1;
35973-5388;;16;;2;1;3;1;69;;;1;14;20;;;;;2;;18;;5;;;;;;;;5;;;3;1;;4;4;1;3;1;;;;2;;2;2;5;1;2;1;1;;;;2;3;10;;5;;;;;1;;;;;;8;1;1;3;2;;;;;1;2;2;;;;2;1;1;;;;;;;;3;1;;12;;2;1;;;;;;2;;;1;;;;;;;;;;;;;;;;1;3;;4;1;;6;1;;4;3;2;;;;;2;1;;;
36318-5469;;3;;;2;2;1;24;1;;;1;7;;;;;;;7;;;1;;;;;;;;;;1;;;;;;;;;;;;1;;;2;;;;;;;;;;3;;1;;;;;1;;;;;;1;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;
31505-5468;1;17;;;;2;;29;;;;2;11;;2;2;7;10;;25;1;;;;1;1;1;1;1;1;;;2;1;1;;;;1;;;;;;;;;6;;1;;;1;;;;2;2;;;;;;;;;;;4;;5;;;2;1;;;;;;1;;1;;;1;;1;1;;;;;;;;2;;2;1;1;1;1;;;;;;;;3;;;;;;1;;3;2;;;2;3;2;1;2;1;1;2;;1;9;;;5;2;1;;;1;;;;;;
10088-5714;;6;1;4;;4;;23;;;;6;12;;1;;1;4;;24;;3;;;;;;;;1;1;;1;;;2;1;;3;1;;;1;4;;4;4;2;;;;;1;;;;1;1;;;;;;;;;;;2;;12;3;1;5;1;;;;;;3;;3;;;2;1;2;1;;;;;;1;1;1;1;3;;1;1;;;;;;1;1;;1;3;;;;1;;;;;;;;1;1;1;2;5;;5;1;3;8;1;2;3;3;;;;;;3;;;;
35743-5388;5;20;6;;1;1;1;60;2;5;;24;25;8;2;1;11;6;1;16;7;;;3;2;2;3;1;1;;;2;5;1;;1;1;;1;;2;3;3;;;;;8;;2;;;1;3;2;;2;14;3;9;1;;;;;4;4;3;1;;12;1;1;;;2;5;1;1;;6;1;;;;2;1;;;;;;1;1;;;;5;18;3;1;;;;1;1;;;1;1;;;8;6;;1;1;;7;6;3;3;1;2;2;2;;1;;1;;;;;;;;;3;2;2;;;;;;
11848-6398;1;10;2;1;;1;;34;1;1;;12;10;;1;1;6;2;;19;1;1;;;1;1;;;;;;;2;;;1;1;1;1;;;;;1;;1;1;5;;1;1;1;;1;;;5;2;;2;1;;;;;;;;1;;7;;;;;1;1;;;;;;;;;4;;;;;;;1;;2;1;;1;7;;4;;;;;;1;;;;;;;;1;;1;1;3;1;;;;;1;;;1;;1;1;;1;;;;;;;;1;;1;;;;
35554-5388;3;12;;;8;5;;66;3;10;;37;26;2;1;;6;4;;16;3;8;2;3;1;1;2;1;1;3;3;;2;;1;5;4;2;1;;3;;;;3;;;10;3;;2;2;1;;;4;3;10;;6;2;1;1;1;;;;;2;;9;;;4;2;3;10;1;4;1;2;;;2;2;11;1;5;3;2;1;1;2;;;1;1;1;17;;7;3;3;2;;;;;4;2;;1;1;;;;;;1;1;1;;;1;1;;2;;2;;;;5;;;2;1;1;2;2;2;3;2;4;2;2;
36320-5388;3;20;;;6;3;;35;1;;;7;9;;2;1;2;7;;40;3;;1;1;2;2;1;1;1;3;;;;;;1;1;1;5;1;1;;;;;;;8;;;1;1;4;;;3;2;3;;2;;;;;;;;;2;;7;1;;1;;1;;;;;;;;;;1;;;;;;;;;1;;;1;5;;1;;;;;;1;;;;;;;;;;1;;1;1;1;1;1;2;1;1;1;2;;;;;12;;;5;3;2;1;1;2;;;;;1;
36359-7098;1;11;1;;;3;;21;;;;2;8;;2;1;3;4;;9;1;1;1;1;;;;;;6;1;;;;;2;;;2;;1;;;;;;;9;3;;1;;;;;1;2;3;;1;1;1;1;;;;;;1;;5;;2;;;;;;;;;;;;;1;;1;1;1;1;;;;1;;2;;2;;1;1;1;1;;;1;;;;1;1;;;1;1;1;1;3;2;2;2;;1;2;1;;;2;2;1;1;3;;1;2;2;1;1;1;;;;;;;
36015-5469;;6;;1;1;4;;24;;;2;2;4;2;1;1;9;4;1;12;;2;;;;;;;;;;;3;;1;;;;;;;;;;;1;;3;;1;;;;;;4;2;4;1;1;;;;;;;;;;;5;;1;1;;;;;;;1;;;;;;;;;;;;1;1;;;;2;2;1;;;;;1;1;;;;;;1;2;1;1;;1;1;3;2;2;2;;2;;;;1;;1;1;;3;1;;;;;;;;;;;;;
31618-5468;;3;2;2;;5;2;22;;3;;14;15;8;;;;;;7;;1;;;;;;;;1;1;1;1;;1;1;1;;1;1;;1;;1;;1;1;2;1;;;;;1;;3;;3;1;3;2;;;;;3;3;2;;;4;;2;;;;3;1;;;2;;;1;1;6;;4;3;1;;1;3;1;;1;1;2;11;1;5;2;2;;1;;;1;;;2;;7;5;;;;;;;;;;;;;;1;;2;2;;2;1;;;;;;;;1;;;;;
