aluno;1>;2>;3>;5>;6>;7>;14>;16>;17>;29>;30>;31>;32>;33>;34>;36>;38>;39>;41>;46>;48>;49>;1>2>;1>46>;1>46>2>;2>1>;2>1>46>;2>2>;2>14>;2>14>41>;2>31>;2>31>30>;2>41>;2>46>;2>46>1>;2>46>1>2>;3>2>;5>5>;6>6>;6>6>6>;7>5>;7>5>5>;7>6>;14>2>;14>2>2>;14>2>14>;14>2>31>;14>2>41>;14>3>;14>3>2>;14>7>;14>14>;14>31>;14>31>30>;14>31>30>14>;14>31>30>30>;14>31>30>30>30>;14>31>30>30>30>30>;14>31>31>;14>32>;14>38>;14>38>36>;14>41>;14>41>2>;14>41>31>;14>41>41>;14>41>41>41>;14>49>;14>49>49>;16>31>;16>31>30>;17>30>;17>30>14>;17>30>30>;30>2>;30>14>;30>14>31>;30>14>41>;30>17>;30>17>30>;30>30>;30>30>14>;30>30>30>;30>30>30>14>;30>30>30>30>;30>30>30>30>30>;30>30>30>30>30>30>;30>30>30>30>30>30>30>;30>30>31>;30>30>41>;30>31>;30>31>30>;30>41>;30>48>;31>2>;31>14>;31>30>;31>30>14>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>30>30>30>30>;31>30>30>30>30>30>30>;31>30>30>30>30>30>30>30>;31>30>31>;31>30>31>30>;31>31>;31>31>30>;31>41>;31>48>;32>31>;32>31>30>;36>34>;36>36>;36>36>36>;36>36>36>36>;36>36>36>36>36>;36>36>36>36>36>36>;36>38>;38>14>;38>33>;38>36>;38>41>;41>2>;41>14>;41>31>;41>31>30>;41>38>;41>41>;41>41>31>;41>41>41>;41>41>41>41>;46>1>;46>1>2>;46>2>;48>14>;48>29>;48>30>;48>48>;49>48>;49>49>;49>49>48>;
3602-4130;2;7;;;1;1;42;1;;;6;8;;1;1;2;4;;21;2;1;1;1;2;1;2;2;;3;2;;;1;1;;;;;1;;;;1;1;;;;1;;;1;3;4;3;1;;;;;;1;;7;;;1;;1;;1;;;;;;3;1;1;;;2;1;1;;1;;;;;;;;;;;;6;2;2;1;1;;;;;;1;1;;;;;;2;1;;;;1;;;;1;;;2;2;;6;2;2;2;;;2;;;;;1;;;
31361-4604;3;21;1;1;29;8;73;2;3;;29;33;;1;1;4;8;;53;3;11;1;2;2;1;;;1;4;2;1;;3;3;3;1;;1;7;3;1;1;4;8;;;1;1;;;4;1;12;9;1;3;2;1;1;;3;;25;1;1;4;1;;;2;;3;;;;4;;;;;10;;3;;1;;;;;;4;3;1;4;1;4;22;2;9;3;1;;;;;;2;1;1;2;;;1;3;;;;;1;1;1;;4;2;2;4;1;1;7;;2;1;3;2;1;2;;4;4;1;1;1;
27941-4130;;20;5;;;1;91;6;35;;87;67;11;2;1;4;7;;38;4;2;3;;;;;;1;14;1;1;;2;;;;1;;;;;;;12;;7;1;1;5;;;10;39;25;1;;;;3;8;5;1;22;3;2;;;3;2;6;3;34;12;8;;28;3;9;4;4;11;3;;;;;;;1;;21;18;;;;7;51;14;1;;;;;;16;15;7;6;;;9;8;1;2;1;;;;1;4;1;2;;5;3;3;2;;6;;2;1;;;;1;;;1;2;2;1;
31753-7118;2;18;;1;;3;42;1;;;21;20;;2;2;7;9;;45;2;2;1;2;;;1;;1;1;;2;1;3;1;1;1;;1;;;1;1;;6;;;1;1;;;;3;5;2;;2;;;;;6;1;10;;1;2;;;;1;1;;;;2;;;;;;8;;1;;1;1;1;1;;3;1;;3;;;;13;;4;1;1;1;1;1;1;;2;1;3;1;;;2;4;2;2;;;;3;2;3;;3;1;3;2;;13;2;4;2;2;2;;1;;;;;1;;
27804-4605;1;6;8;;;1;10;1;;;2;3;2;1;1;3;4;5;1;1;1;;;1;1;;;2;2;1;1;1;;;;;5;;;;;;;1;1;;;;5;3;;;;;;;;;;1;;;1;;;;;;;1;;;;;;;;;;;;;;;;;;;;;1;;;;;;2;;;;;;;;1;;;;;;1;1;1;1;;;;;;1;1;;;;;;;;;;;;;;1;;;;1;;;;
31583-4130;1;9;;;11;6;51;1;2;;15;19;1;2;2;15;11;1;37;2;2;;1;;;;;;2;1;;;1;1;1;1;;;3;1;;;;3;;;;;;;;4;7;4;1;1;;;;;8;2;14;;;5;1;;;1;;1;1;;;6;;2;;;7;1;4;1;2;2;1;1;1;;2;1;;1;;1;11;3;5;2;1;1;;;1;1;1;;1;1;1;;1;5;;;;;1;3;1;4;1;2;1;2;1;1;14;2;2;2;1;1;;;;1;1;;;;
27601-7118;2;16;;3;21;8;105;2;4;1;20;32;;2;2;7;9;;44;2;11;10;1;1;1;1;1;;5;;3;2;2;1;1;1;;2;3;1;3;2;;6;;2;2;;;;5;9;16;10;;5;2;1;;;4;1;21;;1;5;2;6;;2;;4;4;;2;8;1;1;;;7;3;2;1;1;1;1;1;;;1;1;;3;1;2;15;1;6;2;1;1;1;1;1;1;1;1;6;;;;2;5;3;1;1;1;1;;2;2;2;4;3;4;1;1;11;;4;2;1;1;1;4;1;1;;7;1;1;
17813-4130;1;26;;;27;6;68;1;5;;22;21;;3;3;4;10;;33;1;6;9;;;;;;6;1;;;;2;1;1;;;;6;1;;;3;7;2;;;;;;4;1;5;4;1;;;;;;1;;5;;;;;4;4;;;5;2;3;1;7;1;;;;7;4;3;;1;;;;1;;1;1;1;2;1;1;11;1;2;1;1;;;;;;;;;;;;2;;;;;;;2;1;;;;;;;;5;;1;;1;;;;;1;;3;7;3;
31374-5469;;12;;5;1;6;76;1;9;;34;36;;3;1;7;9;;40;;7;9;;;;;;;6;;;;;;;;;3;;;3;2;;8;;5;;;;;1;;12;8;;;;;;;5;2;19;2;1;3;;6;3;1;;9;3;2;;6;1;;4;4;3;1;;;;;;;1;;16;11;;1;;13;21;1;;;;;;;13;8;;;;;;;1;1;;;;;1;5;2;4;;2;3;2;1;;7;;3;1;;;;1;;1;;7;4;4;
31581-4605;1;24;7;1;25;3;67;1;3;;13;14;4;2;1;2;8;3;13;2;11;8;1;;;;;;11;2;;;1;;;;5;1;6;5;1;1;2;9;;5;;;1;;;3;8;1;;1;;;1;;5;;6;3;;3;;6;5;1;1;3;;;;2;1;1;1;1;3;1;;;;;;;;;3;2;;;;1;9;1;3;;;;;;1;1;2;2;;;4;3;1;1;1;1;1;1;;3;2;2;;3;1;3;2;;4;2;;;1;1;;3;;;;6;5;4;
17540-5468;3;16;4;2;5;3;112;3;7;3;53;63;6;3;2;13;15;3;36;5;13;3;1;3;3;3;3;2;5;2;1;;;1;1;1;1;1;;;1;1;;9;2;1;1;;;;2;5;39;19;1;3;;;6;2;6;3;20;1;1;4;1;2;;2;1;7;;;;7;;1;2;2;13;4;5;2;3;1;1;1;;1;6;3;1;7;3;7;36;3;9;4;2;;;;4;3;8;4;2;;4;3;2;7;3;3;1;1;2;1;3;4;;1;2;3;2;2;11;;3;1;2;1;3;1;2;;2;3;;;
36223-5468;1;7;;1;;1;13;1;;;8;6;;;;;1;;9;1;3;;1;;;;;;1;1;1;1;3;1;1;1;;1;;;1;;;6;;;;3;;;1;1;5;3;;2;1;1;;;;;4;1;;;;;;1;;;;;;2;;1;;;5;1;2;;1;1;1;1;;;;;;;;1;4;;3;1;1;1;1;1;;;;;;1;;;;;;;;;;;;;;2;;;;1;1;;;;1;1;;;;2;;;;;
22694-4604;1;15;23;1;;3;33;1;1;;11;12;1;3;2;9;12;7;13;1;;1;;1;1;1;1;2;1;;2;2;1;;;;10;1;;;1;1;;2;;;1;;21;9;1;;3;2;;1;1;1;;;1;;2;;;;;1;1;1;1;1;1;;;3;;;1;1;8;2;6;2;1;;;;;2;;;3;;;;10;;8;6;1;;;;;;;;1;;1;1;1;4;4;3;2;1;2;;2;3;1;;1;1;1;1;;;;;;;1;;;;;;1;;
28385-4604;2;42;39;4;3;8;91;1;4;1;18;16;;3;2;14;13;6;23;2;2;;2;;;;;7;14;3;5;5;;2;2;2;27;4;1;1;4;4;1;3;1;;1;;33;24;5;3;6;5;1;;;;;;5;2;10;;;;;;;1;1;4;2;;1;6;;;1;1;4;;2;;;;;;1;;2;2;;2;;1;13;4;4;2;;;;;;;;;;;;;2;8;4;4;3;3;1;4;2;3;;;1;;;;3;;1;;2;2;;;1;;;;;;
36008-7098;1;16;;1;;1;27;3;3;;18;25;;3;3;27;16;;27;1;1;;1;;;;;6;;;4;2;6;;;;;1;;;1;1;;11;5;;1;;;;;;6;4;1;1;;;;;1;1;5;;2;;;;;3;2;3;1;;3;2;;;2;2;6;;2;;1;;;;2;;2;1;;1;2;;15;1;5;2;1;;;;;;;;4;;;;3;9;4;2;1;1;2;1;3;8;1;1;;7;4;3;10;2;3;3;1;1;;;;1;;;;;
30770-4604;5;31;1;3;;5;112;1;2;2;43;47;3;5;5;26;30;;51;4;10;;1;3;2;5;3;4;8;2;4;3;3;1;1;1;1;3;;;3;3;;16;2;2;2;2;;;2;4;24;13;2;4;2;1;;2;15;3;24;3;4;2;;;;1;1;2;1;;1;14;4;2;;;18;7;13;4;5;2;2;1;1;1;2;2;2;4;1;8;32;5;15;11;3;1;1;;1;1;4;1;5;1;2;2;3;6;4;1;1;1;4;9;5;4;1;3;2;8;3;2;7;3;3;2;1;1;2;;2;3;4;;;;
30806-4604;2;17;;15;;13;56;1;;1;26;29;;1;1;5;16;;39;2;6;2;1;1;1;;;2;1;1;1;1;3;2;2;1;;13;;;11;11;;6;;;;1;;;4;3;14;9;;4;3;3;;;6;;6;;;2;2;;;1;1;;;;3;3;;;;;15;1;11;1;7;6;4;2;;3;;;4;2;;;19;;10;8;5;4;4;2;;;1;;3;1;;;1;2;1;1;1;1;1;1;1;1;3;2;;1;;3;7;;3;1;2;1;1;2;;2;4;1;2;1;
35969-7118;;15;;7;30;11;130;3;7;;45;44;;3;1;25;17;1;48;;8;9;;;;;;2;1;;2;1;3;;;;;5;5;1;7;5;1;2;;;1;1;;;2;2;10;7;;2;;;;;4;;8;;;4;;3;2;3;2;7;;;1;10;1;;2;2;12;3;2;;1;1;;;1;;4;2;;;1;5;29;5;9;2;1;1;;;2;;;;2;;;;;3;3;1;1;;1;3;2;5;1;;3;3;2;2;11;1;1;;;;;2;;;1;7;6;4;
36285-5468;2;36;2;1;25;8;182;4;26;2;143;126;14;3;1;20;22;3;69;2;8;6;2;;;;;3;6;;4;3;6;;;;1;1;5;;1;1;1;8;;;2;3;1;;2;12;71;56;8;12;7;5;2;2;8;4;34;2;2;10;2;2;1;4;3;26;8;;5;27;6;5;7;7;32;2;18;2;12;8;3;;1;2;4;;3;1;;10;91;12;23;12;9;6;3;;2;;8;3;5;2;5;1;1;7;2;1;1;;2;7;3;7;1;6;2;6;3;2;19;3;4;;2;2;;;2;2;;5;4;3;
36128-5388;3;26;7;8;7;8;79;1;6;;63;37;12;2;;6;10;3;36;5;1;1;2;1;1;1;1;3;2;;3;2;;3;3;1;3;7;;;3;3;1;5;1;;1;;3;1;2;1;17;16;;6;4;3;;4;3;;5;;1;;;;;1;1;6;1;1;2;13;2;1;1;1;19;3;12;3;6;4;2;1;1;;4;3;1;1;1;2;32;1;11;8;5;4;2;1;1;1;1;1;;;5;4;;5;4;2;;;;;2;1;;2;;3;2;2;14;;5;3;3;1;1;;;;;;1;;
30732-4130;2;10;;1;22;4;53;2;2;2;11;16;;1;1;4;8;1;34;3;7;3;2;1;;1;1;1;;;;;2;1;;;;1;4;2;1;1;;2;;;;1;;;1;3;4;3;;2;1;;;;1;;12;1;;5;3;1;1;2;1;2;1;;;2;;;;;5;;2;;;;;;1;;3;1;;1;;1;7;;5;2;;;;;;;;;2;1;;;1;1;1;;;;1;;1;;;2;;2;1;1;6;;3;1;2;2;1;;2;1;4;2;3;2;
35872-5468;;8;1;;20;6;44;1;2;1;13;11;4;1;1;15;6;;29;;5;;;;;;;4;1;1;1;;2;;;;;;9;3;;;2;2;1;;;;;;2;7;7;6;1;;;;;;;;10;2;1;1;;;;1;;2;;1;;5;2;;1;1;1;1;1;1;1;;;;;;3;2;;1;;;9;3;;;;;;;3;2;;;;2;;;;5;1;1;1;1;1;1;1;;2;4;;1;1;;8;;3;1;;;;1;1;;;;;;
11848-7098;1;6;;;;;18;1;2;;12;11;;1;1;6;2;;3;1;2;;;1;1;;;;1;;1;1;;;;;;;;;;;;2;;;1;;;;;1;6;6;1;2;2;1;;;1;;1;;;;;;;1;1;2;;;1;2;1;;;;4;1;3;1;2;;;;;;2;1;;2;;1;9;1;4;3;2;;;;;;;;1;1;;;1;3;3;2;1;1;;1;1;;;;;;;;;;;;;;1;;;1;1;;;;
36094-5388;2;14;;2;11;7;41;1;8;2;34;17;1;;;;4;;16;3;12;2;1;2;2;1;1;5;3;;3;2;1;;;;;2;4;2;2;2;;4;2;;1;;;;3;4;4;3;;1;1;;;;2;;6;;;1;1;;;1;1;7;;2;;1;;;3;1;9;;3;;1;1;1;1;;1;;;1;4;;;11;1;4;2;1;1;1;1;;;2;1;1;;1;;;;;;;;;1;;;3;;2;2;;;4;1;3;3;1;1;2;;2;2;5;;2;;
22034-4605;4;21;;1;13;4;38;1;1;;9;16;;3;3;34;11;1;15;4;1;;3;2;2;2;1;9;1;;1;;3;2;2;2;;1;5;2;1;1;1;12;4;;;1;;;1;;8;5;;1;;;;;4;;3;1;;2;1;;;1;1;1;;;1;1;;;;;2;;1;;1;1;1;;1;;1;;;;1;1;8;1;2;1;1;1;1;;;;1;;3;;;;3;24;18;15;11;10;;;2;5;1;1;;1;1;;4;;1;;2;2;2;;;;;;;;
30907-5388;4;15;1;;;;28;;;;2;4;;1;1;3;3;;16;4;;;2;2;2;3;2;3;1;;;;1;2;2;1;1;;;;;;;4;1;;;;;;;;3;1;1;;;;;;1;;4;;;1;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;2;2;;;;;;;;;;;1;;;;1;3;;;;;;1;1;;;;;;;;8;;2;1;2;1;3;;;;;;;;
28007-5388;3;31;1;1;;3;53;1;1;;24;25;;1;1;4;6;;31;4;2;1;;3;3;1;;6;2;;1;1;5;1;;;;1;;;1;1;;8;;;;2;;;1;2;11;8;;2;;;;;4;;12;2;1;1;1;;;1;;1;;;;1;;1;;;8;1;2;1;2;1;1;;;;;;1;2;2;;18;;5;1;1;;;;;;;;;;;;1;1;1;;;;1;;1;1;1;3;;1;1;;5;;1;;;;3;1;;;1;;1;;
31147-4605;2;14;;2;;3;70;2;5;1;31;36;;4;4;15;13;;52;3;3;;;2;2;2;2;2;1;;;;2;;;;;2;;;2;2;;5;1;;;;;;;1;11;6;;1;;;;;6;1;13;;;3;;;;2;1;5;;1;1;;;;;;14;;9;;5;1;1;1;;;2;2;;;1;2;19;;8;5;2;1;1;1;1;1;1;;1;1;;;3;8;4;2;1;;3;1;1;1;;2;1;5;2;;13;2;3;1;1;;2;;;1;;;;;
3559-7274;;7;;;;;33;2;5;;25;25;;1;1;3;3;;22;1;;;;;;;;;;;;;1;;;;;;;;;;;1;;;;;;;;2;12;9;;;;;;;2;;8;3;;2;2;;;2;1;4;;1;1;1;;;2;2;7;;3;;1;;;;2;;4;2;3;;1;2;17;1;4;3;1;;;;2;1;;;2;;;;;2;1;;;;1;;1;;;4;1;2;1;1;4;;3;;;;;;;;;;;;
29800-5468;1;5;;;1;1;23;1;1;1;7;12;;;;;1;;7;1;1;;1;;;;;1;;;;;1;1;1;1;;;;;;;1;2;;;;;;;1;2;6;4;;3;2;2;;;;;3;;;1;;;;1;;1;;;;2;;;1;1;5;2;4;2;3;2;2;2;;;1;1;1;1;1;1;7;;5;4;3;2;2;2;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;1;1;;;;;;;;;
31689-4130;2;8;;;;;19;1;;1;4;8;;1;1;5;6;;15;2;3;;1;1;1;;;3;;;;;2;2;2;1;;;;;;;;4;1;;;1;;;;;2;2;;1;;;;;2;;3;;1;;;;;1;;;;;;;;;;;1;;;;;;;;;;;;;2;;;3;;1;;;;;;;;;;;;;;1;2;2;1;1;;1;;1;;1;1;;2;;;3;;1;1;2;1;1;;1;;1;;;;
30821-4605;2;29;12;5;28;10;120;1;1;;19;21;;4;4;75;28;3;53;2;15;16;;2;2;1;1;10;6;1;1;;5;;;;4;5;14;6;5;5;2;13;6;2;1;1;6;2;5;51;11;8;;2;;;3;;10;;10;;;3;;8;5;1;;1;;;1;;;;1;1;6;;1;;1;;;;;;;;1;;;2;13;;3;;;;;;;;5;2;;;;;2;24;17;12;10;5;4;3;4;3;4;2;;;;;9;;;;;;2;;;;1;10;9;8;
31300-5469;4;14;;;;1;18;1;;;3;11;;1;1;4;6;;17;4;;;3;2;1;1;1;4;3;1;1;;4;2;2;1;;;;;;;;3;2;;;;;;1;;3;1;;;;;;;1;;4;1;;3;2;;;1;;;;;;;;;;;2;;1;;;;;;1;;1;;1;;2;1;2;;1;;;;;;;;;;1;;;;1;2;2;1;1;1;;1;1;;3;8;;1;;3;6;1;4;2;3;2;1;;;;;;;;
21598-4604;3;16;;2;9;4;38;1;3;2;16;18;;3;2;10;7;;14;2;2;;2;;;2;;1;3;1;;;1;1;;;;2;3;1;2;2;1;5;1;;;1;;;1;2;1;;;;;;;;;;6;;;;;;;1;1;3;;;;1;;;1;1;9;1;5;1;4;2;2;1;;;;;;;;;10;;8;5;4;2;2;1;;;1;1;1;2;;;1;6;4;2;1;1;2;1;1;1;;;;1;1;;1;1;1;;1;1;1;;2;;;;;;
23180-5388;;6;5;2;;2;18;1;1;;9;7;;1;;3;1;1;5;;10;;;;;;;;4;;;;;;;;4;1;;;1;1;;1;;1;;;1;1;1;;4;3;1;1;;;;;;;3;;;;;;;1;;1;1;;;3;1;1;;;2;;1;;1;;;;;;;;;3;;1;4;1;1;;;;;;;;;;;2;;;;;;;;;;;1;;;;;;;;;;;;;;;3;;2;2;;;;
36482-7118;2;7;1;;;;30;2;4;;24;16;1;;;;;;8;2;13;;1;1;;1;1;1;;;;;;1;1;1;;;;;;;;3;;;;;1;;;2;9;5;;;;;1;;;;4;1;;;;;;2;1;4;;;1;;;;;;2;;1;;1;;;;;;1;;2;8;;1;10;;;;;;;;1;;2;1;1;3;;;;;;;;;;;;;;1;;1;;;2;1;;;1;1;;;;3;2;;;;
29492-7118;2;17;;;8;4;58;1;1;;12;15;;1;1;17;8;;40;2;1;;2;1;1;1;1;2;3;2;;;2;1;1;1;;;1;;;;2;5;;;;;;;2;1;6;5;1;2;1;;;;1;;15;;;6;2;;;1;1;1;;;;3;2;;;;2;1;1;;;;;;;;2;2;1;;1;1;10;3;2;1;;;;;2;2;;;1;;;;1;3;2;1;1;1;1;1;;2;;2;;1;1;;13;;7;2;1;1;1;;;;;;;;
31576-4604;1;7;3;2;4;6;23;1;1;4;7;10;;1;1;1;4;1;7;1;8;4;1;;;;;;3;;;;;1;1;1;1;2;;;2;2;;2;;;;;2;1;3;;4;2;;;;;2;;;;1;;;;;1;;1;;1;1;;;2;1;;;;;;;;;;;;;;;;;;1;1;5;;;;;;;;;;2;1;;2;;;1;;;;;;;1;1;1;1;;;;;;2;;;;1;1;;1;2;1;5;4;2;2;
17874-5388;1;24;;3;;5;58;1;4;1;29;30;;2;1;5;11;;37;2;13;6;1;;;;;6;2;1;6;6;6;1;1;1;;3;;;3;3;;8;1;1;;2;;;2;1;4;4;;3;1;1;;;2;;9;1;1;3;;2;2;1;1;3;;1;2;4;1;1;1;;15;4;6;3;5;4;3;1;2;2;5;5;5;2;1;;24;;13;6;5;4;3;1;;;2;;2;;;;;3;3;2;1;;1;;2;1;2;6;1;3;2;2;13;2;5;1;1;1;;2;1;;3;6;6;6;
31615-4604;3;17;1;1;9;5;34;1;3;1;17;15;2;3;1;8;8;;37;3;4;2;2;;;2;;1;;;1;;2;3;3;1;;;1;1;1;;;4;;;;;1;;1;;1;1;;1;;;;;2;;12;1;;5;3;;;1;;3;;;2;;;;;;7;;4;;3;2;2;1;2;;2;2;1;;;1;8;;5;3;3;2;2;1;;;1;1;;1;1;;1;4;2;2;2;2;1;;2;1;1;1;;;;;7;;5;2;3;1;;;1;1;2;1;;;
18875-7118;;17;;;;2;64;2;12;;31;41;1;2;1;5;9;;34;;3;1;;;;;;6;1;1;7;5;2;;;;;;;;;;;10;4;1;3;1;;;;2;27;15;1;12;9;4;2;;3;1;11;;;3;2;;;;;12;7;4;2;15;7;1;7;7;21;7;17;6;10;8;6;4;1;1;1;1;2;2;3;1;26;1;19;16;10;8;6;4;;;5;5;4;;;;1;4;4;3;3;2;;1;2;1;3;1;;6;2;;11;3;6;1;;;;1;;1;;;1;;
36357-5388;4;25;5;4;1;5;37;;1;1;13;9;;1;1;4;4;;20;4;2;1;2;2;1;3;1;2;2;;1;1;3;2;2;2;3;4;1;;4;4;1;8;;;;;4;2;3;;3;2;1;1;1;1;;;2;;10;1;1;3;1;1;;;;1;1;;;4;;2;;;5;2;1;1;1;;;;;1;;;1;;;1;7;1;5;1;1;;;;;;;;1;1;;;1;3;3;1;1;1;;2;1;;;2;;2;;;4;1;1;;2;2;1;;1;;;1;;;
31155-5469;1;12;;1;;1;32;1;;;6;8;;1;1;4;4;;21;1;;1;1;1;1;1;;2;2;1;;;2;1;1;;;1;;;1;1;;5;1;;;1;;;;3;1;;;;;;;;1;;5;1;1;1;;1;1;1;1;;;;;;;;;;2;;2;;1;;;;;;;;;;;1;3;;1;1;1;;;;;;;;2;;;;1;1;1;;;;;1;1;;;2;;3;;;4;1;1;1;1;;1;;;;;;1;;
31234-4605;1;13;3;3;1;7;70;2;2;5;28;39;15;2;1;3;10;2;44;1;7;4;;1;1;1;1;4;3;;5;2;;;;;2;3;;;3;3;1;9;2;;4;;2;1;2;4;12;7;;3;2;1;1;9;3;1;21;;;8;6;3;1;2;2;2;1;;;7;1;1;1;1;13;3;9;2;4;;;;1;;5;3;1;1;;5;23;2;11;8;4;;;;2;2;1;1;4;1;12;9;1;2;1;1;1;1;;2;1;3;1;1;4;4;;;15;2;8;3;;;1;1;5;;1;2;1;;
10786-5469;4;20;1;;;;35;2;2;;10;17;;4;3;5;10;;11;5;2;2;3;3;2;3;1;5;1;;4;2;1;3;3;2;1;;;;;;;10;3;;2;1;;;;1;6;2;;2;1;1;;;2;;6;;;;;;;2;1;2;1;;1;4;;1;;;5;3;3;1;2;;;;;;3;3;;;1;1;9;1;5;3;2;;;;2;2;2;1;1;;;;3;4;2;2;2;2;;1;4;1;;;;;;1;1;;;;3;3;3;2;;;;2;1;1;
35870-5469;4;17;;3;4;5;55;3;1;;10;15;;2;1;8;5;;33;4;;;1;4;4;4;4;1;6;3;;;;1;;;;2;1;;2;1;1;9;;1;;;;;1;1;10;5;3;;;;1;;1;1;13;;;3;1;;;3;2;1;;1;;6;4;;;;1;1;;;;;;;;;3;3;;;;7;10;6;;;;;;;3;3;2;;;;;;1;4;3;2;1;;;1;2;2;;2;;;;2;9;;3;1;;;4;;;;;;;;
31471-5468;2;22;1;;12;3;82;1;6;;21;18;;3;2;14;8;;44;2;;;2;;;1;;1;5;3;;;3;2;2;2;;;4;2;;;2;8;;3;;;1;;2;4;10;7;3;2;1;;;;4;2;23;2;1;2;;;;1;1;6;4;1;;8;4;3;;;5;;2;;1;;;;;1;;;2;;1;2;11;4;3;2;1;;;;;;;;1;;;;1;6;3;2;2;1;2;2;2;2;;5;1;1;1;;8;;;;2;2;1;;;;;;;;
23725-5468;3;13;1;3;;5;59;1;18;17;58;43;;3;1;12;6;;27;8;20;3;1;2;2;2;2;2;2;1;;;1;;;;1;2;;;2;2;;6;1;;;1;1;1;1;9;24;13;;;;;2;;3;1;10;;;7;4;1;1;1;;15;;1;;1;;1;;;4;;2;;;;;;;;;;2;1;;3;23;1;2;1;;;;;;;3;2;1;13;;;;7;2;2;;;1;1;2;2;1;2;2;2;;1;12;1;7;5;1;;2;;17;1;4;3;2;2;
36379-5469;2;48;5;2;4;5;84;3;;;33;45;1;1;1;8;4;1;42;4;13;12;2;1;1;1;1;8;6;1;7;3;4;1;1;1;5;2;;;2;2;;20;2;1;2;2;;;5;1;19;8;;6;3;;;;2;2;18;4;3;5;1;8;1;2;2;;;;3;5;2;;;;21;3;9;3;5;4;3;3;;2;2;;2;1;4;1;25;;17;8;4;3;3;3;1;;2;1;4;;1;1;1;4;3;2;1;1;;2;1;2;;8;2;5;4;1;14;;2;;2;2;1;;;;2;9;1;;
35529-5388;1;4;;;;2;16;;2;;8;8;;2;1;4;4;;12;1;1;2;1;;;;;1;1;;;;;1;1;1;;;;;;;;4;1;;;;;;1;;4;3;3;;;;;;2;;3;;;1;;2;2;;;2;;;;4;1;1;;;;;;;;;;;;;2;2;;;;;6;4;;;;;;;2;2;;;1;1;;;1;1;;;;;1;;2;;;;;;;;2;;1;;1;1;;;;;;;2;;
31958-7274;1;14;1;;;1;44;1;17;;42;38;;2;2;7;7;;26;2;;;1;;;;;3;2;1;3;2;1;1;1;1;1;;;;;;;7;2;;2;;;;1;1;22;14;;;;;;;4;;5;;;2;;;;1;;17;3;1;1;5;;1;5;5;6;;1;;;;;;;1;3;2;3;;2;1;24;1;3;1;;;;;2;1;1;1;3;;;;1;5;1;1;1;1;2;;1;1;1;1;1;6;3;;12;3;8;5;1;1;;;;;;;;;
35982-7118;;17;;3;10;4;80;1;8;;44;48;1;2;1;26;12;1;24;;5;;;;;;;3;;;3;2;3;;;;;3;3;1;3;3;1;8;2;;1;1;;;;7;25;18;;5;4;1;1;;8;4;8;2;2;1;1;;;1;;8;1;4;;4;;1;3;3;14;2;8;1;3;3;2;1;2;1;3;3;4;2;2;2;33;;8;6;3;3;2;1;1;1;5;2;3;1;;;;16;10;9;5;5;2;2;2;4;1;4;1;4;2;;5;;3;2;;;;;;1;;;;;
35989-5388;5;44;2;5;6;11;128;5;8;;62;55;1;2;2;11;17;;74;6;12;4;3;3;3;2;2;3;7;2;9;8;6;2;2;2;2;4;;;4;4;1;24;2;;7;4;;;4;5;23;17;2;5;2;;1;;9;;26;1;3;9;;1;1;5;3;8;2;2;2;10;;5;3;3;14;2;8;1;3;1;1;;;;3;1;3;8;2;2;42;4;10;5;1;1;1;;1;;2;;2;1;1;;2;5;3;1;1;;;4;2;1;3;5;5;7;5;1;16;1;1;;3;3;3;1;;2;3;1;1;;
34532-7118;3;21;4;;16;5;92;4;13;;54;55;3;1;;4;10;1;48;3;11;1;2;2;2;1;1;2;7;1;3;1;3;2;2;2;3;;3;1;;;;13;2;5;;2;2;2;3;11;36;24;2;1;;;3;2;3;;20;;2;1;;;;4;2;13;1;6;2;4;1;;1;1;12;1;3;;;;;;2;;6;3;;5;;6;37;2;6;3;;;;;4;3;4;4;1;3;3;1;;1;;;;;;6;1;3;;1;1;5;1;2;5;1;;;2;2;2;3;;;2;1;;;
34838-4605;3;15;;;3;3;57;1;6;1;27;22;;2;;16;10;;38;4;3;;;3;1;3;3;2;5;;;;1;;;;;;1;;;;;6;1;3;;;;;1;3;10;8;;1;;;;;7;1;16;2;;5;2;;;1;;5;;;;;;;1;1;5;;1;;1;1;1;;1;;9;7;;;1;8;14;;2;;;;;;8;6;1;1;1;2;;;;7;3;2;2;1;;3;2;1;1;5;1;1;;1;10;1;4;3;;;1;;1;1;;;;;
28313-4604;1;16;12;;;1;36;1;3;;17;12;;1;1;2;2;1;5;1;1;;;;;;;3;2;1;3;3;2;1;1;;5;;;;;;;9;1;1;2;1;9;2;1;1;6;4;1;1;1;1;;;1;;1;;;;;;;;;3;2;;;4;;;1;1;9;1;5;;3;3;2;1;;;;;1;;1;;9;1;5;3;2;2;2;1;;;;;;;;;;2;2;2;2;2;1;;1;;;2;;1;1;;;;;;1;;;;;1;;;;;
