aluno;1>;2>;3>;5>;6>;7>;14>;16>;17>;29>;30>;31>;32>;33>;34>;36>;38>;39>;41>;46>;48>;49>;1>2>;1>46>;1>46>2>;2>1>;2>1>46>;2>2>;2>14>;2>31>;2>31>30>;2>31>30>30>;2>41>;2>46>;2>46>1>;3>2>;5>5>;6>6>;7>5>;7>5>5>;7>6>;14>2>;14>2>2>;14>2>14>;14>2>31>;14>2>41>;14>3>;14>3>2>;14>7>;14>14>;14>31>;14>31>30>;14>31>30>14>;14>31>30>30>;14>31>30>30>30>;14>31>30>30>30>30>;14>31>31>;14>38>;14>38>36>;14>41>;14>41>2>;14>41>31>;14>41>41>;14>41>41>41>;14>49>;16>31>;16>31>30>;17>30>;17>30>14>;17>30>30>;30>2>;30>14>;30>14>2>;30>14>31>;30>14>31>30>;30>14>41>;30>17>;30>17>30>;30>30>;30>30>14>;30>30>30>;30>30>30>14>;30>30>30>30>;30>30>30>30>30>;30>30>30>30>30>30>;30>30>30>30>30>30>30>;30>30>31>;30>30>41>;30>30>48>;30>31>;30>31>30>;30>41>;30>48>;31>2>;31>14>;31>30>;31>30>14>;31>30>17>;31>30>17>30>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>30>30>30>30>;31>30>30>30>30>30>30>;31>30>30>30>30>30>30>30>;31>30>31>;31>30>31>30>;31>30>48>;31>31>;31>31>30>;31>41>;31>48>;32>31>;34>38>;36>14>;36>34>;36>36>;36>36>34>;36>36>36>;36>36>36>36>;36>36>36>36>36>;36>36>36>36>36>36>;36>36>36>36>36>36>36>;36>38>;38>14>;38>33>;38>36>;38>41>;41>2>;41>14>;41>31>;41>31>30>;41>38>;41>41>;41>41>31>;41>41>41>;41>41>41>41>;41>41>41>41>41>;46>1>;46>1>2>;46>2>;48>14>;48>30>;48>48>;49>48>;49>49>;
36337-5469;5;44;21;;7;2;85;7;4;;28;43;15;2;1;3;8;2;45;4;3;;1;3;3;2;1;9;7;3;1;1;5;1;1;19;;2;;;2;8;;1;;1;11;9;2;5;11;4;;2;1;1;;2;1;12;3;1;2;1;;7;2;4;;1;1;6;2;;;1;2;2;12;3;5;1;2;2;2;1;;;;;;;;;1;17;2;1;1;8;4;2;2;2;1;;;;4;2;1;1;12;1;;1;2;1;2;1;1;;;;3;1;1;;3;4;1;1;;9;;1;;;1;;3;;2;;;;
15217-7098;2;11;8;;;2;30;2;3;;14;17;1;3;2;22;8;1;19;2;1;1;1;1;1;1;;4;2;2;2;;1;1;1;3;;;;;;6;1;1;1;;4;2;2;1;5;5;;3;1;;;;;6;;;1;;;2;;3;1;;;2;1;;;;1;1;7;1;2;;1;;;;;;1;2;1;;1;1;2;12;;1;1;7;2;1;;;;1;;;1;1;4;;1;;1;2;14;1;7;5;2;1;;2;;2;1;2;;1;2;2;1;5;1;1;1;;2;;1;;;;;1;
36466-7118;1;10;;2;4;4;50;2;16;1;62;61;;2;2;31;13;;58;3;4;3;;1;1;1;1;1;;1;;;2;;;;2;4;2;2;1;3;1;;1;;;;1;;20;12;;;;;2;3;;7;1;;2;;1;2;1;14;;8;;;;;;;2;2;17;;7;;2;2;1;;1;;;5;2;4;;1;1;36;;1;1;6;4;2;2;1;;3;1;;8;4;9;;;2;2;2;9;1;3;1;;;;;1;1;3;3;1;;3;2;1;11;;;;;;;1;;;;3;1;
35981-5388;2;20;;;10;5;73;1;8;;42;48;1;1;1;10;7;;28;3;4;1;1;1;1;2;1;1;;2;2;;5;2;2;;;1;;;1;8;;;1;2;;;3;;36;19;;5;2;;1;3;1;7;;1;1;;;1;1;7;;2;2;1;;1;1;;2;2;11;;5;;2;1;1;;;1;1;;;2;1;1;;27;;1;1;7;2;;;;;;;;1;;;1;;;1;1;4;;3;2;1;;;1;;1;3;1;;;3;2;1;2;;;;;2;1;1;;1;;;1;
36435-7118;3;36;4;3;11;9;112;3;19;;94;75;;3;1;34;23;;78;3;7;;2;2;1;2;2;12;;7;3;1;2;1;1;1;2;3;3;2;1;18;6;;4;;1;1;5;1;36;30;;8;5;;2;4;1;19;2;2;4;1;;3;1;18;1;5;1;2;;;;;2;2;24;;12;;3;3;3;3;1;1;1;2;;7;4;;2;56;1;2;2;12;6;1;1;1;1;1;;;4;3;4;1;;1;2;1;17;1;10;6;2;1;;1;;3;8;3;5;1;3;2;1;17;;5;1;1;2;2;1;;2;;;;
35890-5468;3;31;;1;9;7;172;;5;;90;106;;4;3;7;26;;54;3;8;4;2;2;2;2;2;2;4;10;6;3;1;2;2;;;2;1;;1;19;1;1;5;1;;;2;3;78;54;;30;15;9;9;14;2;30;1;6;4;;4;;;5;1;;5;19;3;6;5;3;2;2;51;14;24;8;16;9;3;2;3;4;1;7;4;6;2;2;4;79;2;1;1;47;23;15;8;3;2;3;1;1;9;6;2;4;;;;1;;;;;;;;2;4;4;4;1;1;1;7;2;1;6;;;;;2;2;2;2;1;;2;2;
29688-6398;2;17;;1;;1;43;1;;;5;5;;1;1;2;5;;20;2;;1;2;1;1;;;1;1;;;;2;2;2;;1;;1;1;;6;1;;;;;;;;1;1;;;;;;3;1;11;1;;1;;;1;;;;;;;;;;;;;1;;;;;;;;1;;;1;;1;;;;3;;;;;;;;;;;;;;;;;;;;;2;;2;2;2;1;1;1;;1;1;;1;1;;;;2;;;;;2;1;1;;;;;1;
36267-5468;2;10;6;1;;3;35;;1;;5;6;;3;2;7;3;2;9;2;4;4;;2;2;1;1;;2;;;;;;;2;;;;;;4;;2;;;3;1;1;1;1;;;;;;;1;;4;;1;;;1;;;1;;1;;2;1;;;;;;2;1;;;;;;;;;;;;;;;1;2;;;;1;;;;;;;;;;;;;;1;;2;4;2;3;1;1;1;1;1;1;3;;;;;1;;;2;;1;;;;;2;1;1;2;3;3;
36004-7118;2;15;2;;;3;34;2;8;;31;29;;;;;4;;26;2;4;1;1;1;1;2;1;;2;1;;;2;1;1;;;;;;;7;;1;1;1;;;1;2;11;7;;7;3;2;;2;;11;;2;1;;;2;2;8;2;3;;5;1;2;1;;3;3;22;2;12;2;8;6;3;3;4;3;1;8;6;4;1;;4;23;1;;;16;10;6;4;2;2;5;3;;1;1;1;2;;;;;;;;;;;;;;;;1;2;;4;2;;3;1;2;2;2;1;1;1;1;;3;;1;
35760-5469;;12;2;4;5;8;51;2;2;5;32;33;;1;1;4;6;;45;1;27;2;;;;;;1;;4;1;1;2;;;1;3;1;4;3;3;3;;;1;1;2;1;1;1;13;6;;1;;;1;2;;8;;;2;;1;1;1;2;;1;;1;;;;;1;1;14;1;8;;6;4;4;4;2;;4;4;2;;10;1;;19;;;;6;4;3;2;2;2;1;;7;1;1;1;4;;;1;;3;;3;2;2;2;2;1;;;;;3;2;2;2;;12;1;7;2;1;;;;1;4;11;;1;
31239-7118;3;18;2;4;;4;79;3;10;;61;53;;3;3;7;11;;17;2;7;4;1;2;2;2;2;1;3;4;3;1;3;;;;4;;4;4;;6;;1;;2;1;;2;4;41;35;2;11;6;6;1;4;;9;2;;3;1;3;3;2;10;1;;2;6;1;1;;1;2;2;18;2;9;1;9;5;5;4;1;3;;3;1;4;5;;2;46;3;2;2;14;7;7;3;3;2;1;;4;2;2;2;1;;3;2;3;5;2;3;3;1;1;1;;1;;;;4;;2;2;1;6;;2;1;1;;;2;2;1;1;1;4;
14034-6398;1;10;11;;;2;16;1;;;8;10;10;1;1;8;5;7;12;1;1;1;;1;1;;;;;;;;;;;7;;;;;;;;;;;5;4;;1;;;;;;;;;;1;;;;;1;1;1;;;;;;;;;;;;1;;1;;;;;;1;;;4;1;1;1;;1;5;;;;1;1;;;;;2;1;1;1;1;2;;3;;;1;;;;;;;;;;1;2;;;;;;;5;;4;1;;;;1;;;;1;;
35554-5714;;6;;;6;3;28;;3;;9;8;;2;1;5;2;;12;;3;;;;;;;;;1;;;;;;;;;;;;2;;;;;;;2;;4;3;;2;2;2;;1;;3;;;1;;;;;3;;1;;1;;;;;;;4;1;3;;2;;;;;1;;;;1;;;;5;;;;3;3;2;;;;;;;1;1;;;;;;;2;;2;2;1;;;1;;1;;;;1;;;;3;;;;;;;;;;3;;;
21788-5469;2;16;;1;;2;39;1;;;15;18;;1;1;4;5;;23;3;2;;1;1;1;1;1;1;3;3;2;;1;1;1;;1;;1;1;;6;1;;2;;;;2;2;7;2;;1;1;1;1;1;;1;;;;;;1;1;;;;3;;;;;;;;9;;8;;4;2;2;;;1;;;;2;1;1;;11;;;;7;6;2;1;1;;;;1;2;1;2;1;;;;;1;;;;;;;1;;1;;1;1;1;2;1;;3;;;;;1;1;1;1;2;2;;;
13342-5468;2;11;1;;11;4;45;3;16;;42;24;;;;;;;10;6;9;;1;2;1;2;2;2;4;1;1;1;1;;;;;1;;;;7;2;1;1;1;;;4;1;13;11;;;;;;;;6;1;;1;;;3;2;14;3;1;;6;2;1;1;2;5;4;7;1;2;;;;;;;;;4;4;;;;1;19;;4;3;3;1;;;;;4;4;;;;;;;;;;;;;;;;;;;;;;2;;2;1;;2;;;;;1;1;1;1;;3;;;
36253-7098;2;34;;2;37;4;126;3;30;1;109;92;;3;1;18;21;;48;8;5;;;2;2;2;2;8;3;7;5;2;4;;;;1;24;1;1;3;17;2;;4;1;;;3;8;48;41;3;12;8;4;2;6;4;14;;1;3;;;3;3;29;7;2;2;18;4;3;1;1;8;7;27;4;17;3;11;9;7;3;2;1;1;6;2;3;2;4;1;77;5;7;6;23;15;10;8;6;3;4;2;1;6;3;8;3;;1;2;1;6;1;4;1;;;;;1;3;9;1;1;2;7;6;2;11;1;1;;;;;2;;4;;;;
35955-5468;;10;;;;;44;2;;;10;11;1;1;1;6;4;;20;;4;;;;;;;;1;;;;;;;;;;;;;2;;1;;;;;;;4;2;;;;;;1;;11;1;;2;;;2;;;;;;3;;;;1;;;;;;;;;;;;;;1;1;;1;;1;4;;;;;;;;;;1;1;;1;;;1;1;1;;1;2;1;1;1;1;;;;2;1;;;1;1;;;;3;;1;;;;;;;;;;;
36396-5714;1;17;;1;;1;44;1;1;;12;17;;2;2;11;14;1;18;1;4;;1;1;;1;1;5;2;5;3;;2;;;;1;;1;1;;10;2;;2;1;;;;3;6;2;1;1;;;;5;1;4;;;;;;1;1;1;;;1;5;;1;;;;;2;;1;;1;1;;;;;1;1;;;1;1;;8;4;;;1;;;;;;1;;;1;1;5;2;;1;1;2;5;2;3;2;1;;;1;2;2;2;4;3;2;;;2;6;;2;;;1;1;;;2;1;;;
32724-5469;3;14;3;;9;4;51;1;;;8;10;4;1;1;6;5;;49;3;;;3;1;1;;;1;7;;;;;3;3;1;;1;;;1;5;;2;;;2;1;3;2;5;5;;;;;;2;;14;1;;2;1;;1;;;;;;3;;1;1;1;;;;;;;;;;;;;;3;3;;;;1;7;3;;;;;;;;;3;3;;;;;;2;;1;;2;;2;;;;;1;3;1;;;3;;;;;7;;2;;;3;2;1;;;;;;
30676-6388;;8;;;10;4;27;1;5;;12;15;;3;1;14;7;;19;;;;;;;;;;1;;;;1;;;;;4;;;2;4;;;;1;;;1;;7;4;;;;;;3;1;6;;2;;;;1;1;3;;;;;;;;;1;1;3;;2;;1;;;;;1;;;;2;;1;2;8;;1;1;2;1;;;;;;;;2;1;1;;;;2;1;4;;3;2;1;;;1;1;2;2;;1;1;2;1;;5;;;;;;;;;;;;;
30991-5468;;17;1;;3;1;54;2;15;;59;45;4;1;1;4;9;;43;4;4;;;;;;;;;6;5;1;3;;;;;1;;;;4;;;2;1;;;1;2;18;15;1;3;1;;1;3;;16;4;1;2;;;2;1;11;3;1;2;6;;1;1;3;5;3;15;1;4;1;2;1;1;;2;1;1;3;2;3;3;;1;36;2;2;1;11;4;2;1;1;;1;1;1;3;2;;1;;1;;1;2;1;1;1;1;;;;;1;1;3;6;2;7;3;1;5;1;2;2;1;;;;;1;;;;
13179-5714;1;13;3;1;;1;28;;2;;11;19;3;;;;3;1;13;1;1;;1;;;;;7;2;1;1;;5;;;1;;;;;;6;3;1;;1;1;;;1;8;5;;1;1;;1;2;;5;;1;1;1;;;;2;1;;1;1;;;;;1;1;1;;1;;;;;;;;;3;1;;;2;1;9;;;;1;1;;;;;3;1;;2;1;1;;1;;;;;;;;;;;;;;;;3;;4;1;;4;1;2;;;1;1;;;;;;;
31109-6398;1;25;1;;27;5;113;4;13;3;52;44;4;2;2;99;32;1;31;4;16;1;;1;;1;1;6;8;3;1;;3;;;1;;4;;;2;15;3;4;;1;;;4;18;25;14;1;3;1;;8;25;14;17;2;;1;1;;2;1;12;1;1;;14;1;2;2;1;3;2;12;5;4;3;3;;;;2;1;1;5;2;1;3;3;6;27;4;2;2;9;3;2;;;;2;;1;11;9;;6;3;1;5;1;50;1;28;16;11;7;6;4;9;2;18;2;3;3;;;2;7;;3;1;;;;;5;5;2;1;;
271-7274;2;9;1;;8;4;34;1;;;8;11;1;2;1;8;9;1;56;2;4;;1;2;1;2;2;;1;;;;1;1;;;;2;;;2;3;;;;;;;3;1;3;1;;1;;;;;;17;;1;7;1;;1;1;;;;1;2;1;;;1;;;3;;1;;1;1;;;;;;;;;;;;4;1;;;2;;;;;;;;;1;;1;2;;1;;1;4;1;2;;;;;;;2;1;2;2;1;5;2;3;18;2;3;;;1;1;2;;1;3;;;
36252-7118;3;16;;2;2;3;52;2;8;;38;40;;2;1;17;8;;21;2;3;2;3;;;1;;2;4;1;1;1;1;2;2;;2;;2;2;1;10;;3;1;;;;2;5;25;18;2;2;1;1;5;5;1;8;;;3;1;1;2;1;8;2;5;;13;3;3;3;4;2;2;13;6;1;1;1;;;;;1;;1;1;1;;;2;29;6;2;2;7;1;1;;;;1;1;;6;3;1;;;;;1;9;;2;;;;;1;2;2;2;1;;1;2;2;;6;2;1;;;2;2;;;;;2;;
36373-5469;3;19;;4;1;6;105;2;;;21;27;;2;2;15;8;;65;4;1;17;3;1;1;1;;;6;1;;;1;1;1;;4;;4;4;;7;;2;;1;;;2;5;12;5;;;;;;2;;20;1;1;2;1;8;1;1;;;;;2;;;;;;;5;;3;;2;2;;;;2;;1;1;2;;1;2;12;1;;;1;1;;;;;1;1;;;;;;;1;;2;6;2;2;;;;;;3;1;1;1;2;1;2;1;1;10;1;4;2;1;2;1;2;1;;;1;9;
36691-5714;1;10;1;;;2;41;4;3;1;17;26;6;3;1;7;9;;20;1;5;1;;1;1;1;1;2;3;3;3;2;2;;;;;;;;;5;1;2;1;;;;1;2;17;10;4;9;7;3;;4;;11;2;;3;2;;4;;3;1;1;1;8;2;4;3;;2;2;13;6;10;3;7;5;;;5;;2;7;4;;2;;4;15;4;;;12;9;6;5;;;3;1;;3;1;1;4;1;;1;;3;;;;;;;1;2;3;1;2;3;3;1;;3;7;1;2;;;;;1;1;3;;1;1;
21251-5469;;5;;;7;3;12;2;;1;2;5;;;;;;;12;;6;;;;;;;;2;;;;;;;;;1;;;1;1;;1;;;;;1;;2;;;;;;;;;3;;;;;;2;1;;;;;;;;;;;;1;;;;;;;;;;;;;;;;1;2;;;;1;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;1;;3;;;
31478-5714;;3;;2;;1;10;;1;;4;5;;;;;;;14;;1;;;;;;;2;;1;1;;;;;;2;;1;1;;3;2;;;;;;;;1;1;;;;;;;;2;;;1;1;;;;1;;;;;;;;;;;;;;;;;;;;;;1;1;2;1;;;3;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;2;1;1;;;;1;;;;;
36387-5388;5;31;2;3;27;9;95;1;8;;45;48;6;2;1;8;14;2;64;5;3;1;1;3;3;3;2;3;5;2;2;1;3;1;1;;3;5;3;3;2;14;2;3;1;1;;;6;21;28;23;4;17;12;7;1;8;1;28;;1;3;1;1;1;1;7;2;5;;16;1;14;13;1;2;2;37;10;23;8;14;9;5;3;12;3;;13;10;4;;1;11;37;8;;;28;21;13;8;4;2;3;3;;2;1;1;;;;1;;3;;1;;;;;1;2;1;1;3;1;7;1;;;7;;2;2;;1;1;3;1;1;1;;;
36274-7098;;9;;;8;6;18;2;4;;13;17;;2;;4;4;1;27;;3;1;;;;;;1;1;1;1;;1;;;;;3;;;2;2;1;;1;;;;1;1;4;4;1;1;;;;1;;4;2;1;;;;2;2;4;;2;;1;;;;1;1;1;6;;5;;2;1;;;;1;;;;1;;1;;9;1;;;4;3;1;;;;;;;;;2;2;;;1;;2;;1;1;;;;;;1;1;;3;;2;1;1;6;;1;;;;;;;1;;;;
28245-5468;4;16;;;1;2;37;1;;;2;8;;1;1;7;6;;10;4;3;3;3;1;1;3;1;2;1;5;;;2;2;;;;;;;1;6;1;1;;1;;;2;;1;;;;;;;1;;4;1;;1;;2;1;;;;;1;;;;;;;;1;;;;;;;;1;;;1;;;;2;1;2;;;;1;;;;;;;;;;;2;;;;;1;;;;;;;;3;1;1;1;;3;;;;;1;;;;;1;1;2;;;;3;2;
31915-5468;3;24;2;1;;1;59;1;3;1;34;28;1;1;;4;6;;46;3;14;;1;2;1;2;2;2;3;1;1;1;2;1;1;1;;;1;;;9;1;;;2;;;;;8;6;;1;;;;2;;13;1;;2;1;;1;;3;;;2;5;1;;;3;1;1;14;2;7;2;3;3;2;2;;1;5;3;1;2;9;;2;19;3;;;8;3;2;2;1;1;1;1;1;;;;1;;;;;3;;;;;;;;4;1;;;3;;3;3;1;6;1;1;1;;1;1;1;1;4;5;;;
23754-6398;1;8;;;;;28;1;10;;27;18;;1;1;5;6;;16;2;4;;;1;1;1;1;2;2;1;;;2;;;;;;;;;3;;;;1;;;;;7;5;;2;;;;5;3;7;;1;;;;1;;9;5;;1;5;;;;1;3;3;6;;;;;;;;;;;;;;1;;2;13;;2;2;4;;;;;;;;;;;1;2;;;1;;3;;2;2;1;1;;1;;1;3;;;;1;;;1;;1;;;;;1;;2;1;;;
36577-6398;4;10;;;;;38;2;;;13;16;;5;5;18;9;;33;4;1;;2;3;3;3;3;;2;1;1;;2;2;1;;;;;;;3;;;1;1;;;;;5;3;;;;;;4;;8;1;;3;1;;2;2;;;;;1;;;;;;;2;1;;;;;;;;;;2;1;;;;2;11;;;;2;;;;;;2;1;;;;;;;1;1;2;13;;8;3;3;3;3;4;;3;2;1;2;2;;;1;9;;4;2;2;1;1;3;;;1;;;
28022-6388;1;13;;;;;24;1;1;;5;14;3;2;2;28;11;;6;1;2;;;1;1;;;7;1;3;1;;2;;;;;;;;;8;5;;2;;;;;;5;3;;1;1;1;;3;;3;1;;1;;;1;;;;;1;;;;;;;;3;;2;;1;1;1;1;;;1;;;;2;;1;5;;;;2;1;1;1;1;1;;;1;;;;;3;1;;2;13;1;8;5;2;1;1;1;3;1;1;;3;;;;;3;;1;1;;;;1;;;2;;;
28132-5468;1;10;;;;;38;3;5;;16;19;;1;1;6;6;;19;2;3;;1;;;1;;1;1;1;;;1;1;1;;;;;;;3;1;;;;;;;2;10;8;1;;;;;4;1;13;;;;;;2;;5;2;;;5;1;;;;3;3;4;1;1;;1;1;1;1;;;;4;3;;1;;3;13;1;2;2;4;1;1;1;1;1;3;3;1;;;;1;;;1;1;3;;2;1;1;1;1;1;1;1;1;;1;;1;1;;2;1;1;;;1;1;;;1;;;;
3371-6398;1;9;3;;;;16;;;;1;3;;;;;;;4;1;;;;1;;;;;1;;;;;;;1;;;;;;7;;1;;;3;1;;1;;;;;;;;;;3;;;1;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;2;;;;;;;;;;;;;
21340-6398;1;15;6;;27;5;75;2;2;;16;27;1;3;2;4;7;1;33;2;6;5;;1;1;1;1;2;7;;;;;;;;;;;;3;11;1;3;;;3;;3;15;16;9;3;;;;;3;;17;;1;5;1;4;2;1;2;2;;;9;;2;2;2;;;1;;;;;;;;;;;3;2;1;1;;9;13;5;;;;;;;;;3;2;1;;;3;;;1;1;2;2;;2;2;2;1;1;1;3;3;2;;1;2;1;1;1;13;;2;1;1;;;1;4;;;5;4;
36240-6398;3;9;;1;1;3;34;1;1;;10;13;;3;3;9;8;;32;2;1;1;2;1;1;1;1;2;;;;;;1;1;;1;;1;1;;4;2;;;;;;;;4;2;;1;;;;1;;6;;1;1;1;;1;;1;;;;2;;;;;1;1;3;1;2;1;;;;;;;;;;;;;;8;1;1;1;2;1;;;;;;;;;;;;;3;;3;5;2;2;;;;;;1;2;1;1;1;1;1;1;;4;;1;1;;1;1;1;;;1;;1;
36196-6398;1;13;9;;;2;25;;;;1;4;;2;;8;9;7;14;1;;;;1;1;;;2;;1;1;1;2;;;3;;;;;;3;1;;;;5;3;1;1;2;;;;;;;3;1;3;1;1;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;1;;;;1;;;;;;;;;;;;;;;;;5;;5;2;2;1;1;;;2;1;;3;1;1;;;3;;;;;;;1;;;;;;
15432-5469;1;20;;;10;7;91;1;1;;13;18;3;;;;1;;16;1;5;;1;;;;;3;6;1;;;2;1;1;;;;;;1;13;2;4;;1;;;3;13;12;3;2;;;;;;;12;2;;4;3;;1;1;1;1;;;4;;2;;1;;;2;;;;;;;;;;;;;;1;2;1;7;3;;;;;;;;;;;1;;;1;;1;;;;;;;;;;;;;;;;3;1;1;1;1;5;1;3;3;2;1;1;;2;1;1;;;
31068-7118;2;14;1;;7;2;49;1;5;;21;22;;1;1;10;8;2;16;2;10;;;2;2;1;1;4;1;1;1;1;1;;;;;3;;;1;7;2;1;1;;;;1;;9;7;;;;;1;5;2;5;;;2;2;;1;1;5;2;;;3;2;2;2;1;3;3;4;1;3;;2;1;1;;;2;;1;;2;5;;;15;;2;2;3;3;2;1;1;;;;5;5;1;1;3;;;;;6;;3;2;2;1;1;1;2;;2;;3;;3;1;;6;3;5;4;2;;;2;;;;;;
36375-7098;1;10;;;16;5;41;1;9;;42;30;;1;1;20;4;;9;3;;;;1;1;1;1;;;2;2;;;;;;;9;;;1;4;;;;;;;3;3;20;17;;3;1;;3;1;1;4;;;;;;1;1;8;1;;2;2;1;;;;2;2;9;;5;;2;2;1;1;1;;;2;1;;;;;28;1;1;1;7;4;2;2;1;1;;;;4;3;1;;;;;1;5;1;1;;;;;1;;;1;;;;;;;1;;;;;;;1;;;;;;
29497-5469;2;22;2;2;8;6;57;2;2;;27;32;;1;1;4;6;1;35;2;4;1;2;;;;;3;1;3;2;1;8;;;2;1;1;2;1;;10;1;1;1;3;2;2;1;2;15;10;;4;1;;;3;;15;1;;3;;;2;2;2;;;;4;;1;1;1;1;1;7;2;3;1;;;;;;2;;1;;3;;;1;22;;1;1;6;2;;;;;;;;;;2;1;;1;;1;;;;;;;;;2;1;;;8;1;2;1;1;8;;1;;;1;1;;;;1;1;1;
36030-7118;1;16;;;3;2;64;2;10;;44;47;3;2;1;5;4;;34;1;8;;;1;1;1;1;1;2;2;2;;2;;;;;1;;;1;10;1;;;2;;;1;4;22;16;3;3;2;1;2;3;;13;;1;3;;;2;1;10;5;;;12;5;3;1;1;6;6;5;1;2;;1;;;;;;;3;2;;2;2;2;34;6;3;3;5;2;1;;;;1;1;1;4;2;1;4;1;;;1;1;1;;;;;;1;1;2;;;3;;2;;;9;1;4;1;;;;1;4;4;1;;;
24986-5469;2;16;;4;;4;49;1;;;12;12;;1;1;3;4;;66;2;33;;2;;;1;;2;1;2;1;;2;1;;;3;;3;3;;3;;;;1;;;;;2;1;;;;;;;;18;;;3;;;1;;;;;1;;;;;;;;5;;;;;;;;;1;1;;;1;1;1;;6;;;;2;;;;;;;;;;;1;;;1;;1;2;1;1;1;;;;;;1;;;;1;;;;12;;2;1;;2;2;;28;;;;;
31535-5468;2;15;2;;4;3;59;5;;;11;19;2;2;2;9;5;;32;5;4;3;1;2;1;2;1;1;8;;;;1;1;1;2;;;;;;11;;5;;1;1;1;3;1;8;4;1;;;;;1;;16;1;;3;1;2;5;2;;;;;5;;1;;;;;;;;;;;;;;;;4;2;;;;6;9;4;;;;;;;;;3;2;;;;;1;1;;;2;1;;;;;;;2;1;2;1;;2;1;1;1;;7;;2;;;1;1;1;1;1;;3;1;
36263-5468;1;18;;2;12;8;92;2;6;;44;48;1;1;1;7;10;;38;1;11;1;1;;;;;3;;2;1;;2;1;1;;1;4;2;1;;5;2;;;;;;4;6;29;19;1;7;2;1;;2;1;11;;1;4;;;2;1;6;;2;3;2;;1;1;;;;13;1;8;;6;2;1;1;;1;2;2;;2;2;;2;32;1;;;11;6;4;1;;;1;;;;;2;;;;2;1;3;;2;2;2;2;2;1;;1;1;1;3;1;7;6;;9;1;1;;;1;1;;;;1;1;;
22469-7274;1;13;11;3;7;6;83;3;9;;43;54;1;4;3;28;12;1;25;1;17;19;;1;1;1;1;1;3;;;;1;;;3;1;2;2;1;1;9;1;2;;1;11;3;4;3;37;22;8;;;;;6;;13;;;2;1;13;3;2;9;1;1;;16;2;;;1;1;1;1;;;;;;;;1;;;8;6;;2;;13;35;15;1;1;;;;;;;7;6;1;;;;;1;2;;3;17;;14;10;8;6;4;1;6;4;1;;;1;;;;5;;1;;;;;1;3;;4;12;8;
19254-6389;1;14;1;4;6;7;59;3;4;1;25;26;3;3;2;13;10;;25;1;11;4;;1;1;;;1;2;;;;1;;;1;3;3;1;1;3;6;1;1;;;1;1;4;2;18;13;1;3;3;2;;6;;7;;;3;;3;3;1;4;;2;1;2;1;;;;1;1;10;;6;;4;1;1;1;;1;1;2;1;2;3;;3;20;1;1;1;8;6;4;1;1;1;2;1;1;;;1;1;2;1;1;2;8;1;4;2;2;2;2;1;3;3;1;2;2;;1;;2;6;;3;;;;;1;3;;2;4;3;
31273-5388;1;9;;5;12;9;55;;2;;33;28;;1;1;3;7;;15;2;4;5;;1;1;1;1;2;;2;2;1;;;;;4;3;4;4;;4;;;1;;;;4;4;15;11;;3;;;2;;;3;;;1;1;3;;;1;;;2;1;;;;1;;;10;;3;;3;2;1;1;1;;;4;1;1;;1;;21;;;;8;2;1;1;1;1;;;;2;2;1;;;1;;1;2;1;1;1;;;;;2;;;1;;1;1;;1;4;;1;1;1;;;1;;;1;3;2;
32869-5714;2;25;21;3;;5;49;2;12;;32;34;;3;1;7;9;;80;2;1;2;;2;1;2;1;5;2;4;4;3;9;;;8;3;;3;3;;4;1;;;;16;6;2;12;6;6;;6;2;2;;1;;17;1;2;4;;;;;5;;1;2;;;;;;3;;28;;16;;12;8;7;6;6;4;;7;7;4;;;;27;;1;;25;15;11;8;7;6;1;1;;1;;3;;;;;1;3;1;2;1;;;;2;;3;;4;6;;8;6;1;23;1;7;2;1;;;1;;;;1;2;
21888-7274;2;16;2;4;;5;37;1;6;;25;28;;2;2;40;10;;29;2;;;;2;2;;;;2;3;2;;3;;;1;4;;4;4;;10;;1;1;2;1;;1;1;8;7;1;2;2;1;;3;2;6;;1;3;1;;1;1;6;4;;1;6;1;;;;2;2;5;;4;;2;1;1;1;;1;;1;;1;;;2;19;2;1;1;5;4;2;1;1;1;;;;2;1;3;;;1;2;2;10;2;2;;;;;1;1;1;3;1;2;;3;2;2;11;1;4;;;;;2;;;;;;
22677-5469;2;11;9;;3;2;17;1;;;4;6;2;1;1;4;3;5;9;2;1;1;1;1;1;2;1;4;1;;;;1;1;1;2;;;;;1;;;;;;6;2;1;2;2;1;;;;;;;;1;;;;;;1;;;;;;;;;;;;;2;;1;;;;;;1;;;2;1;;1;;1;3;;;;1;;;;;;2;1;1;;;1;;2;1;;1;3;;2;2;;;;;;1;1;1;1;;;;;3;;;;;1;1;2;;;;;;
