aluno;1>;2>;3>;5>;6>;7>;8>;14>;16>;17>;29>;30>;31>;32>;38>;41>;46>;48>;49>;2>2>;2>2>31>;2>14>;2>14>2>;2>14>31>;2>14>41>;2>31>;2>31>30>;2>31>30>30>;2>41>;3>2>;5>5>;6>6>;6>6>6>;7>5>;7>5>5>;7>6>;7>14>;7>31>;14>2>;14>2>2>;14>2>14>;14>2>31>;14>2>31>30>;14>2>41>;14>3>;14>3>2>;14>7>;14>7>5>;14>14>;14>14>31>;14>31>;14>31>14>;14>31>30>;14>31>30>14>;14>31>30>30>;14>31>30>30>30>;14>31>30>30>30>30>;14>31>30>30>30>30>30>;14>31>30>31>;14>31>31>;14>31>41>;14>32>;14>41>;14>41>2>;14>41>31>;14>41>41>;14>41>41>41>;14>49>;14>49>49>;16>31>;16>31>30>;17>30>;17>30>14>;17>30>30>;17>30>31>;30>2>;30>14>;30>14>2>;30>14>31>;30>14>31>30>;30>14>41>;30>17>;30>17>30>;30>30>;30>30>2>;30>30>14>;30>30>30>;30>30>30>14>;30>30>30>30>;30>30>30>30>30>;30>30>30>30>30>30>;30>30>30>30>30>30>30>;30>30>30>30>30>30>30>30>;30>30>31>;30>30>48>;30>31>;30>31>30>;30>31>30>30>;30>41>;30>48>;31>2>;31>14>;31>14>41>;31>30>;31>30>14>;31>30>30>;31>30>30>30>;31>30>30>30>30>;31>30>30>30>30>30>;31>30>30>30>30>30>30>;31>30>30>30>30>30>30>30>;31>30>31>;31>30>31>30>;31>30>41>;31>30>48>;31>31>;31>31>30>;31>41>;31>41>41>;31>48>;32>31>;32>31>30>;41>2>;41>7>;41>14>;41>31>;41>31>30>;41>41>;41>41>2>;41>41>31>;41>41>41>;41>41>41>41>;48>14>;48>29>;48>30>;48>48>;48>48>48>;49>48>;49>49>;49>49>48>;49>49>49>;
31535-5468;;5;1;;4;2;;26;1;;;6;9;1;;12;;;;1;;3;2;1;1;;;;;1;;;;;;;;;3;;2;;;;;;2;;1;;5;2;3;1;;;;;1;;;;5;1;;2;1;;;1;;;;;;;3;;1;;;;;;;;;;;;;;;;;2;2;;;;;3;;5;2;;;;;;;2;2;;;;;;;;;;1;;1;1;1;4;;;1;;;;;;;;;;;
31408-4605;;3;1;;;6;1;14;1;3;;7;8;;;10;;3;1;;;2;1;;1;;;;;1;;;;;;;4;;2;;2;;;;;;2;;;;7;1;4;;;;;;2;;;;4;1;1;;;;;1;1;3;2;;;;5;1;2;2;1;;;;;;;;;;;;;;;2;1;;;;;2;1;4;2;;;;;;;2;1;;;;;;;;;;1;2;;1;;3;;;2;1;1;;;2;2;;;;;
36263-5468;;10;;1;9;4;;38;2;3;;24;28;1;1;21;;5;;2;;;;;;2;1;;1;;1;3;;1;1;;;;2;1;;;;;;;2;1;2;1;14;;9;1;5;1;1;;1;;;;6;;1;1;;;;2;1;3;;1;1;2;1;;;;;;;11;1;;7;;6;2;1;1;1;;2;2;;;1;2;;1;;18;1;9;5;4;1;;;1;;1;;;;1;;;;;2;;1;5;4;4;;1;1;;;;;1;;;;;;
22469-7274;;5;2;;6;1;;26;2;3;;16;23;;;7;;4;4;;;1;;;;;;;;1;;1;;;;1;;;3;;;;;;2;1;;;2;1;15;4;7;3;;;;;1;;;;4;;;;;3;2;2;2;3;1;1;;;6;;;;;;;1;;;;;;;;;;1;;5;5;;;;;6;3;13;5;;;;;;;5;5;;;;;;;;;;;;1;;;1;;;;;;;;;;2;2;1;1;
24108-4130;;6;;;;1;;16;2;4;;12;11;;;10;;2;;2;1;1;;1;;1;1;;2;;;;;;;;;;1;1;;;;;;;1;;;;7;;4;;;;;;;1;;;3;;1;;;;;2;1;4;;;;1;;;;;;1;1;2;1;;2;;2;1;1;;;;;;;;;1;;;;7;;1;1;1;1;1;;;;;;1;1;1;1;;;;2;;;1;;1;;;;;;;;;;;;;;
31769-4604;;22;15;1;7;4;8;33;3;;6;23;34;29;2;24;;14;10;7;1;1;;;;3;2;;5;10;1;1;;1;1;1;;;3;1;;1;1;;4;2;;;2;;1;;1;;1;;;;;;;12;2;;;;;5;2;3;2;;;;;2;1;1;;;;;;10;2;;4;;2;2;2;1;1;2;;4;3;1;2;1;1;1;;17;1;7;2;1;1;1;1;2;2;2;1;7;2;4;2;3;24;10;;;;2;1;7;;1;3;1;;6;;1;;7;5;2;4;
27888-4130;;6;1;1;14;4;;23;2;1;;10;14;1;;13;;;1;2;;;;;;2;1;1;2;;;6;1;1;;;;;3;2;;;;;;;2;;4;1;4;;2;;1;1;;;1;1;;;5;;;4;2;1;1;2;1;1;;;;1;;;;;;;;7;1;;4;;;;;;;;;1;;;;;1;1;;8;;6;4;;;;;1;;;;3;3;1;;;;;;;;2;;7;;;4;;;;;;;;1;;1;
31090-4605;1;16;;3;18;8;1;46;1;5;;13;19;1;1;32;1;;;;;8;2;2;6;;;;;;3;9;5;3;3;2;2;;9;;5;;;;;;1;1;1;;12;8;3;2;;;;;;;;;17;2;2;7;4;;;1;;5;2;;;;5;2;1;1;1;;;1;;;;;;;;;;;;;;;;;;10;4;4;2;;;;;;;;;;;;;;;;1;;3;3;3;2;;15;1;;5;1;;;;;;;;;;
30989-4604;1;11;3;;;1;;28;1;;;6;9;;1;12;1;;;;;5;2;1;2;;;;;2;;;;;;;1;;7;;3;;;;;;;;2;;5;1;3;1;;;;;2;1;;;10;1;2;3;;;;1;;;;;;;5;1;2;1;2;;;;;;;;;;;;;;;3;3;;;;;4;1;6;5;;;;;;;3;3;;;1;1;;;;;;3;1;;2;1;3;2;;;;;;;;;;;;;
31273-5388;1;8;;2;;5;;23;;1;;20;19;;1;5;1;;2;2;;;;;;2;2;1;;;2;;;2;2;;;1;3;;;1;1;;;;4;2;3;;8;;6;;2;;;;;;;;1;;;1;1;;;;;1;;;;2;1;;;;1;;;6;2;;2;;2;2;1;1;1;1;;3;1;1;1;;1;;;13;;5;2;1;1;1;1;;;1;;;;1;;;;;;;1;1;;1;;;1;1;;;;;;;2;;2;
21888-7274;;6;;1;;1;;13;1;3;;9;11;;;12;;;;;;1;1;;;2;2;;1;;1;;;1;1;;;;5;;;1;1;1;;;1;1;;;2;;1;;1;1;1;1;;;1;;2;;;1;;;;1;1;3;2;;1;;2;1;;;;;;1;;;1;;1;1;1;1;;;;1;;;;;;1;;5;;1;1;1;1;1;1;;;;;1;;3;1;;;;1;;;2;1;6;1;1;2;;;;;;;;;;;
22677-5469;;2;2;;1;1;;10;1;;;4;6;2;;5;;1;1;1;;;;;;;;;;1;;;;;;;;1;;;;;;;2;1;1;;1;;2;;1;;;;;;;;1;;1;;;;;;;1;;;;;;;;;;;;;;2;;;1;;;;;;;1;;2;1;1;;1;;1;1;3;;1;;;;;;2;1;;1;;;1;;;2;;;;;;;2;;;;;;;;;;;;;;
27881-5388;;4;;;25;1;;23;;1;;14;13;;;9;;6;;;;2;;1;1;;;;;;;9;2;;;;;;1;;1;;;;;;1;;4;1;4;;3;1;;;;;;;;;4;2;;;;;;;;1;1;;;;4;;;;1;;;1;;;;;;;;;;;1;;;;1;3;;;;6;2;;;;;;;;;;1;;;1;;2;;;2;;;;;1;;;;;1;;2;1;1;;;;;
30797-4130;1;9;1;1;2;2;;31;1;;;13;21;1;;15;1;5;8;2;;1;;;;;;;;1;1;;;1;1;;;;6;2;;;;;;;1;1;1;;8;;5;;2;2;2;1;1;;1;;6;1;;;;4;;1;;;;;;;1;;;;;;;5;;1;2;1;2;1;1;1;1;1;;3;1;;;;;4;1;10;;3;2;2;1;1;1;2;1;;;;;1;;;;;1;;;;;4;;;;;;;;;;4;2;;;
22418-4130;1;9;5;3;;5;2;54;1;;;12;16;14;1;19;1;6;7;1;1;3;;1;;1;;;;4;2;;;3;2;;2;;4;1;;;;;2;2;3;2;4;;2;;1;;;;;;;;;7;9;;;2;;6;5;1;1;;;;;;4;2;;;;;;2;;2;2;2;1;;;;;;1;1;1;;;1;;4;2;8;1;2;2;;;;;1;1;;;;;1;;;9;4;;;;;;5;;;2;;;;;;;5;6;4;5;
21393-4605;;8;;;14;3;;59;1;2;1;14;27;;1;12;;6;1;2;2;3;1;;;2;;;1;;;4;;;;;2;;5;1;2;;;;;;1;;13;;12;4;2;;;;;;1;1;1;;2;;1;1;1;;;1;;2;;;2;1;1;;;;;;;6;;1;3;;1;;;;;1;;3;2;1;;;;13;1;7;;2;1;1;;;;1;1;;;1;;2;;1;;;;;1;2;2;3;;;1;;;1;1;;;;;;;
30627-4604;;9;;1;3;2;;22;1;2;;6;7;;;17;;4;3;1;;1;1;;;;;;1;;1;2;;1;1;;1;;7;;1;;;1;;;2;1;;;5;;4;1;1;;;;2;;;;3;;;;;2;2;1;;2;1;;;;2;1;;;;1;1;3;;;;;;;;;;;1;2;2;1;;1;;;;5;1;3;;;;;;2;2;;;;;;;;;;;;;;;2;;;1;;1;;;1;;2;2;2;;
28338-7118;;4;;;2;2;;14;1;2;;12;9;2;;4;;9;1;;;;;;;;;;;;;;;;;1;;;;;;;;;;;2;;;;6;;4;;3;3;2;;;;;1;3;;1;;;;;1;1;2;;;;;1;;;;;1;1;4;;1;4;1;3;1;1;1;1;1;;2;2;1;;2;;;;7;;4;4;3;1;1;1;1;1;;1;;;;;1;2;2;1;;;1;;;;;;;;;1;2;1;1;;;;
35796-5468;1;17;;1;5;8;;54;2;;;18;24;;1;19;1;10;;1;;3;;;2;7;6;5;2;;1;;;1;1;1;;;10;1;;6;5;1;;;5;1;4;1;11;1;5;;5;4;1;;;;;;11;3;;6;3;;;2;1;;;;;1;5;2;;;;;;14;1;4;11;2;7;4;4;3;2;;;;;;;1;1;1;;15;1;13;11;7;4;4;3;;;;1;;;;;1;;;4;2;2;1;1;10;;1;5;2;4;;;1;;;;;;
28170-7118;;7;2;;;4;;10;1;;1;8;10;;;8;;2;;2;1;;;;;3;3;1;2;2;;;;;;;;3;4;1;;1;1;1;;;3;;;;1;;1;1;;;;;;;;;3;3;;;;;;1;;;;;;;1;;;;;;;4;;;2;;1;1;;;;;;1;;;1;;;;;7;1;4;2;1;1;;;1;;1;;;;1;;1;;;5;;;2;1;;;;;;;1;;;;;;;;
28450-4604;1;3;;;;1;;7;1;;;;6;;;3;1;;;1;1;;;;;1;;;;;;;;;;;;1;1;1;;;;;;;;;;;1;;;;;;;;;;;;2;;;1;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;1;1;;;;;;;;;2;;;;;;;;;;;;;;
22499-5388;;5;;;;1;;9;3;3;;14;15;1;;7;2;;;1;;;;;;2;2;1;;;;;;;;;;;;;;;;;;;;;;;3;;2;;;;;;;;;1;2;;1;;;;;3;2;2;;;;1;;;;;;;;4;;;1;;;;;;;;;1;1;1;;;;;;10;;4;1;;;;;;;;;;;2;;;1;;;1;;2;1;;;;;;;;;;;;;;;
28034-4604;2;9;;1;;2;;16;1;1;;4;7;;;10;2;2;;1;;1;1;;;1;1;1;3;;1;;;1;1;;;;6;;;;;2;;;1;;;;3;;1;;1;;;;;1;1;;1;;;1;1;;;1;1;1;;1;;1;;;;;;;;4;1;;2;;1;1;;;;;2;;;;;2;;;;3;;3;2;1;1;;;;;;;1;;2;;;;;1;1;;;;3;;;2;1;;;;;;;;;;
3597-5469;;6;2;;;;;9;1;;;7;6;;;8;;4;;1;;;;;;;;;2;1;;;;;;;;;2;;;;;;1;;;;1;1;2;;2;;1;;;;;;;;4;1;1;;;;;1;;;;;;;;;;;;;;3;;;1;;1;1;;;;;1;;;;1;3;;1;1;4;;2;1;1;1;;;;;;1;;;;;;;;2;;;1;;2;;;;;1;;3;;;;;;;
31294-4130;;13;5;1;26;4;1;57;5;4;3;34;43;1;;40;;8;4;4;;1;1;;;;;;4;;1;7;2;1;1;2;;;7;2;;;;;4;;2;;1;;16;;12;;9;4;4;3;;1;;;16;;4;5;3;4;2;5;1;4;1;1;;1;8;;;;3;;;20;1;4;11;2;8;7;6;6;6;2;;3;2;1;2;1;2;1;;26;3;17;8;8;7;6;6;;;2;1;3;2;3;;1;1;;6;1;3;9;6;14;3;2;4;1;;2;;3;1;3;2;1;1;
35884-5388;1;6;3;;;;;11;;1;;3;3;;;9;1;;;;;4;;;1;;;;;1;;;;;;;;;1;;;;;;2;;;;1;;1;;;;;;;;;1;;;5;2;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;2;;;;;;;;;;;;2;1;;;;;;2;;;;;1;;;;;;;;;;;;;;
36950-5468;;;;;;1;;9;1;;;5;6;;;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;1;2;;1;;;;;;;;1;;3;;1;;;;;1;;;;;;;1;;;;;;;1;;;;;;;;;;;;;;;1;;;;;3;1;1;;;;;;;;;;;;1;;;;;;;;1;;;;;;;;;;;;;;;;
31499-5388;;8;3;3;;3;;25;1;5;;18;11;1;1;7;1;1;2;3;;;;;;;;;;2;3;;;3;3;;;;1;1;;;;;;;2;2;3;2;7;;4;;;;;;;2;;;2;;;1;;;;1;;4;;2;;;;;;;;;;7;;;1;;1;1;1;;;;;;;;;;;;;8;;2;1;1;1;1;;;;;;3;2;;;;;;;;;;;5;;;2;;;;;;;;1;;1;
36202-7274;;1;;;;;;6;1;;;3;6;;;1;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;1;;;1;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31475-4604;;9;3;;;2;;49;1;1;2;13;14;;1;4;;8;11;2;;1;;;;2;;;;1;;;;;;;;2;2;;;1;;;2;1;2;;1;;9;;6;1;1;1;;;;;1;;;;;;;7;4;1;1;1;1;;;;2;;;;;;;2;;;2;;;;;;;;;;;;;1;1;;;8;1;1;1;;;;;;;;1;;;1;1;;;;1;;1;;;1;;;;;1;2;1;5;1;6;9;4;5;
22475-4605;;9;;2;;2;;29;2;;;5;12;;1;22;;;;4;;;;;;1;;;2;;2;;;2;2;;;;5;2;;;;1;;;1;1;;;5;;2;;2;;;;;1;1;;8;;;1;1;;;2;1;;;;;2;;;;;;;;4;2;;;;;;;;;;;;;;1;;;4;;5;;4;;;;;;;;;;1;1;1;;;;;3;;1;3;;3;;1;2;1;;;;;;;;;;
30779-4130;;8;8;4;;3;2;17;2;2;;7;15;10;;9;;1;1;3;1;;;;;1;;;;4;1;;;3;1;;;;;;;;;;1;1;2;2;2;;3;;2;;;;;;;;;3;2;;;;;1;;2;1;2;;1;1;;1;;1;1;;1;1;4;;1;2;;1;;;;;;;1;;;;;1;2;1;5;;3;2;1;;;;;;;;;;;;;2;1;;;;;;1;;;;;;;;1;;1;;;;
28517-4604;;15;;1;;1;;53;2;4;;27;35;;;19;;5;2;2;;;;;;2;2;1;2;;1;;;1;1;;;;7;;;1;1;2;;;;;9;4;22;;14;2;5;1;1;;;;1;;10;;;2;1;2;2;2;2;4;2;;;1;6;1;2;1;2;;;8;1;1;1;;1;;;;;2;3;4;3;;;4;1;;;23;3;8;1;1;;;;2;2;;1;4;3;3;;;;;1;;;1;1;4;;1;2;;1;;1;1;;1;2;1;1;
22305-5468;;8;2;;;1;;17;2;;;7;12;2;;15;;;;1;;2;;;2;;;;;1;;;;;;;1;;1;1;;;;;;;1;;3;1;3;;;;;;;;;2;;1;5;;1;1;1;;;2;;;;;;1;1;;;;;;;2;1;;;;;;;;;;;3;;;1;;;2;1;6;;1;;;;;;3;;1;;4;2;;;;;;1;;;3;3;4;;;3;2;;;;;;;;;;
22293-7098;;3;;;11;2;;11;1;5;;26;14;1;;9;;4;;1;;;;;;1;1;;;;;3;1;;;1;1;;;;;;;;;;;;1;;1;;1;;;;;;;;;;;;;;;;;1;1;5;1;;1;;1;;;;;2;2;4;;;3;;2;2;2;;;1;1;3;1;;1;3;;;;13;;1;1;1;1;1;;1;1;;;2;2;;;;1;1;;1;;1;1;5;;1;4;3;;;2;1;;;;;;
21911-4130;;8;;;3;2;;25;1;;;5;12;;;19;;2;;1;;;;;;1;;;3;;;;;;;1;;;2;;;1;;;;;1;;1;1;8;;1;;;;;;;2;1;;7;1;1;3;;;;1;1;;;;;;2;;1;;;;;;;;;;;;;;;;;;;;1;1;3;;;2;1;;;;;;;;;;1;2;;2;;;;;3;;;1;;4;2;;;;1;;;1;;;;;;
31368-4130;;7;1;;7;3;;24;1;;;8;9;1;;14;;4;3;;;1;;;1;;;;;;;1;1;;;2;;;2;;;;;;;;2;;;;5;;4;2;1;;;;1;;;;8;;;2;1;1;;1;1;;;;;;5;2;3;2;;;;3;;2;;;;;;;;;;2;;;;;;1;1;8;4;3;;;;;;2;;;;;;;;1;;;1;1;2;1;;5;;;3;2;;;1;;;2;;;;
36093-7274;;4;;;;;;7;1;;;8;9;;;4;;;;1;1;;;;;2;2;;;;;;;;;;;;1;;;;;;;;;;;;1;;;;;;;;;;;;1;;;;;;;1;1;;;;;;;;;;;;;1;;;1;;1;1;;;;;;1;;;;;;;;4;;;;;;;;;;;;2;1;1;;;;;;;;;;1;;;;;;;;;;;;;;
35983-5468;;13;5;;9;6;;21;;5;;36;27;4;1;8;;4;;1;1;;;;;6;5;1;;3;;3;;;;;1;3;1;;;;;;2;1;2;;4;2;8;;6;;1;;;;;;;3;2;;;;;;;;;5;;1;;1;;;;;;;;8;;;5;;5;2;1;;;1;;1;;;1;;;;;19;;5;3;3;1;1;;;;1;;3;2;;;4;2;1;1;;;;;;;;;;;;4;1;;;;;;
31438-4130;;5;;2;;2;;22;1;;;3;7;;1;21;;;;1;;;;;;;;;1;;1;;;1;;;;;3;1;;;;1;;;1;1;9;;3;;1;;1;;;;;;;;8;;;4;2;;;1;;;;;;;;;;;;;;3;;;1;;1;1;1;;;;;;;;1;;;1;;1;;1;;;;;;;;;;1;;;;;;;;;1;2;;7;;1;4;2;;;;;;;;;;
13190-5468;;9;;;;;;24;1;8;;16;13;3;;8;;1;;1;1;1;;;1;3;1;;1;;;;;;;;;;1;;;;;;;;;;;;5;1;2;;1;;;;;;;1;4;;;1;1;;;1;;8;1;;;;1;;;;;;;1;;;;;;;;;;;;1;;;;1;3;2;;4;;1;;;;;;;;;;;;1;1;;;;;;;1;;4;;1;2;2;;;;;;;;;;
31167-4130;;14;;3;13;7;;30;1;4;;30;22;2;;30;;;;1;;2;;;1;1;;;3;;3;5;2;3;3;;1;2;6;;1;1;;1;;;;;;;4;;3;;1;;;;;;;;6;1;;3;1;;;1;1;4;;;1;2;4;2;1;1;;1;1;11;2;2;5;1;4;1;;;;2;;5;3;1;2;;;1;;16;;7;4;4;1;;;2;1;2;;1;1;1;;;1;1;3;3;;1;;11;1;;4;2;;;;;;;;;;
22507-4130;1;7;;1;5;2;1;37;1;2;;7;9;5;;21;1;4;6;;;;;;;1;1;;1;;1;;;1;1;1;;;6;;;1;1;1;;;1;;;;5;;2;1;;;;;;;;3;7;;;2;1;3;2;1;;2;1;;;;3;2;;;;;;1;;;1;;;;;;;;;;;;;;;;;4;2;;;;;;;;;;;;;;;;;;1;;2;1;1;11;1;1;5;1;;;;;;4;5;4;1;
35513-5469;;8;;1;1;4;;27;1;;;5;18;;;12;;5;1;2;2;;;;;6;1;1;2;;1;;;1;1;;1;;5;1;;2;;1;;;2;;3;1;8;;3;;3;1;1;;;;2;;8;;1;4;2;;;1;;;;;;1;2;;1;;;;;4;1;1;1;1;1;;;;;1;;1;;;;;3;2;;4;;4;1;1;;;;;;;;1;;3;1;;;;1;;5;2;;6;1;;2;1;2;;;2;2;;1;;1;
31698-7274;2;6;;;;;;8;1;;;1;2;;;;2;;;2;1;2;1;;;1;1;;;;;;;;;;;;4;1;;;;;;;;;;;2;;1;;;;;;1;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;1;;;;;1;;;1;1;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
36279-7098;;1;;;;;;6;1;1;;6;8;;;10;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;2;1;;;1;;1;;;1;1;;;;;;1;1;4;1;;3;;3;3;2;1;1;1;;2;2;2;;;;;;3;;2;1;1;1;;;;;;;1;1;;;;;;;;;;;3;;;1;;;;;;;;;;;
30743-4605;;3;2;;9;3;1;16;1;2;1;14;13;;;12;;1;1;;;2;1;;;;;;1;2;;;;;;;;;1;;1;;;1;1;1;2;;;;1;;;;;;;;;;;;4;;1;1;;;;1;;2;;1;1;;1;;;;;;;4;;;2;;1;;;;;1;;2;1;;;;;;;5;;1;1;;;;;;;;;2;1;1;;;;;;1;;4;1;2;;1;;;;1;;;;1;1;1;1;
22440-4604;;4;2;4;2;4;;11;1;;;6;7;;;11;;1;;;;;;;;;;;1;1;3;1;1;3;2;1;;;2;;;;;1;;;1;1;1;1;3;;3;2;;;;;1;;;;5;;;2;1;;;1;1;;;;;;4;1;;;3;;;1;;1;;;;;;;;;;2;;;;;;;;6;3;1;;;;;;2;;;;;;;;;;;;2;;;;6;;;4;3;;;;;;;;;;
15396-5469;;5;;;;;;11;;;;;;;1;4;;1;1;2;;;;;;;;;1;;;;;;;;;;4;2;;;;1;;;;;;;;;;;;;;;;;;;1;;;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;1;;;1;1;;;;1;;1;1;1;1;
3602-4130;;1;;;1;1;;12;1;;;5;7;;;8;;;;;;1;;;1;;;;;;;1;;;;1;;;;;;;;;;;1;;1;;4;;3;1;;;;;;;;;3;;;;;;;1;;;;;;;2;;1;1;1;;;1;;;1;;1;;;;;;;;;;;;;;;5;2;1;1;1;;;;;;;;1;1;;;;;;;;;2;2;2;;2;1;1;;;;;;;;;;
31361-4604;1;9;;;12;4;;30;1;;;10;14;;2;22;1;7;;;;3;1;;2;1;;;1;;;1;;;;2;;2;6;;;1;;1;;;3;;;;5;;3;;1;1;;;;1;;;12;1;1;4;1;;;1;;;;;;;2;;;;;;;3;;;1;;;;;;;;1;;;;1;1;1;3;2;7;1;3;1;;;;;;;;;2;1;1;;2;;;1;;1;3;;5;;;1;1;1;;2;4;1;;;;;
27941-4130;;12;2;;;1;;39;4;9;;24;23;4;;19;1;1;2;;;7;3;5;;;;;;;;;;;;;1;;8;;4;;;;2;;;;2;1;14;3;6;1;;;;;3;1;;3;9;2;1;;;2;2;4;2;8;3;3;1;;13;;1;1;4;1;1;3;;1;;;;;;;;;;6;5;;;;;4;3;15;9;;;;;;;5;4;;;4;3;;;;2;1;3;1;2;2;2;4;1;;;;;;;;;1;2;1;2;
31753-7118;1;10;;1;;2;;19;1;;;14;14;;1;26;1;2;1;;;1;;;;2;1;;1;;1;;;1;1;;;1;2;;;1;1;;;;;;;;4;;1;;1;;;;;;1;;5;;1;1;;;;1;1;;;;;2;;;;;;;;4;;;;;;;;;;;;;;;2;;;;;8;;1;;;;;;;;;;1;;2;1;1;;;3;;;2;1;8;1;1;2;1;1;;;;;;1;;;
27804-4605;1;3;3;;;1;1;5;1;;;2;3;2;;;1;1;;2;1;1;;;;1;1;;;2;;;;;;;;;1;1;;;;;2;1;;;;;;;;;;;;;;;;1;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;2;;;;;;;;1;;;;;;;;;1;1;;;;;;;;;;;;;;1;1;;;;;
31583-4130;;4;;;6;3;;15;1;;;7;10;1;;8;;1;;;;;;;;;;;;;;1;;;;;;;1;;;;;;;;;;1;;6;;3;1;1;;;;;;;;2;;;;;;;1;;;;;;;2;;;;;;;4;;;3;;2;2;1;1;;1;1;1;;;;1;;1;;6;2;3;2;1;1;;;;;;;1;;1;1;;1;;;1;;;;3;;;1;1;;;;1;;;;;;
27601-7118;1;10;;2;12;7;;61;1;4;;18;24;;2;23;1;9;7;;;5;2;1;;3;2;1;1;;2;2;1;2;2;;2;2;5;;2;2;2;;;;4;1;5;;13;1;10;;5;2;1;1;;;1;;13;;1;4;2;5;;1;;4;4;;;1;8;;1;;1;;;6;1;3;2;1;1;1;1;1;1;;1;;;;;3;1;2;;13;1;5;2;1;1;1;1;;;;2;;;4;2;;;;2;1;1;2;;9;1;;4;2;4;;1;;;5;1;1;;
17813-4130;1;20;;;11;3;;43;1;5;;14;14;;;15;1;2;8;5;;1;1;;;;;;;;;4;1;;;2;;;6;2;;;;;;;3;;1;;5;;4;1;;;;;;;;;3;;;;;3;3;;;5;2;3;;1;6;;1;;;;;5;;3;2;;1;;;;;1;;1;1;;;;1;1;;8;1;1;1;1;;;;;;;;;;;;;;;;;;;;3;;;1;;;;;;;2;6;2;4;
31374-5469;;6;;3;1;4;;40;1;9;;25;23;;1;21;;2;3;;;3;2;1;;;;;;;1;;;2;1;;1;;5;;2;;;;;;1;1;;;9;2;5;;;;;;3;;;;10;1;1;1;;1;1;1;;9;3;2;1;;6;2;1;;;4;4;3;;1;;;;;;;;1;;10;5;;;1;;8;3;12;1;;;;;;;7;3;;1;;;;;;;;1;;1;2;1;2;;;1;;1;;1;;;2;2;2;1;
31581-4605;;13;5;1;13;2;6;33;1;1;;7;11;2;1;10;;3;2;;;3;;;1;;;;1;4;1;3;2;1;1;1;;;4;;1;;;;;;;;;;6;1;1;;1;;;;;1;;;5;2;;2;;1;1;1;1;1;;;1;;2;;1;;1;;;2;;1;;;;;;;;;;3;2;;;;;1;;7;1;2;;;;;;1;1;;;2;2;;;;2;1;2;;1;2;1;3;;1;;;;;;;;;1;;;
17540-5468;1;7;1;2;5;3;;46;2;3;2;27;35;5;1;16;1;5;2;;;2;;;1;1;;;;;1;;;1;1;;;1;4;;;1;;;;;2;;3;2;19;2;9;;3;;;;1;1;2;2;7;1;;2;;1;;2;1;3;;;;;2;;;;;1;1;8;;2;3;1;2;;;;;;1;3;1;;1;2;2;4;;18;;7;3;2;;;;1;1;;1;3;1;2;1;;4;3;1;;1;1;1;5;;;1;1;1;1;;1;;2;;;;
36223-5468;;1;;1;;1;;4;1;;;3;3;;;2;;2;;;;;;;;1;1;1;1;;1;;;1;;;;;1;;;;;1;;;1;1;;;2;;1;;1;;;;;;;;1;;;;;;;1;;;;;;;;;;;;;;3;;;1;;;;;;;;;;;;;;;1;;2;;2;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;1;;;;;;;
22694-4604;1;9;8;;;2;;12;1;1;;6;7;;1;5;1;;1;2;;;;;;2;2;2;;5;;;;;;;;1;1;;;1;1;;8;5;1;;;;1;;;;;;;;;;1;;;;;;;1;1;1;1;1;1;;;;2;;;;;1;1;5;;1;4;1;;;;;;;;;;;2;;;;;6;;5;4;;;;;;;;;;;1;;;;;;;;1;1;;;;;;;;;;;;1;;;
28385-4604;;17;14;3;;5;;43;;4;;13;11;;1;11;;;;3;1;6;;1;1;4;4;2;;10;3;;;3;3;;;;3;1;;1;1;;12;8;4;3;2;;4;1;3;1;;;;;;;;;4;;;;;;;;;4;2;;1;1;6;1;;;;1;1;3;;;1;;;;;;;;;1;1;;;;;1;;9;4;3;1;;;;;;;;;;;;;;;;;;;;;2;;;1;;;;;;;;;;;
36008-7098;;5;;1;;1;;10;3;1;;9;12;;;6;;1;;3;1;;;;;3;2;;2;;1;;;1;1;;;;4;3;;1;1;;;;;;;;4;;3;1;1;;;;;;;;;;;;;;;3;2;1;1;;;3;2;;;;;1;1;2;;;;;;;;;;;;;;;;1;;;;8;1;2;;;;;;;;;1;;;1;1;;;;1;1;;2;1;4;1;1;2;2;;;1;;;;;;;
